"id","year","month","day","hour","minute","second","lat","long","id_gps"
"742588",22,3,30,12,2,20,37.154762,-3.087326,"AV597"
"781731",22,3,30,12,8,2,37.154655,-3.087413,"AV597"
"789784",22,3,30,12,13,13,37.154693,-3.087478,"AV597"
"798046",22,3,30,12,18,25,37.154685,-3.087378,"AV597"
"805507",22,3,30,12,23,36,37.154716,-3.087306,"AV597"
"814133",22,3,30,12,28,48,37.154762,-3.087338,"AV597"
"831916",22,3,30,12,34,9,37.154796,-3.087422,"AV597"
"841865",22,3,30,12,39,22,37.154739,-3.087452,"AV597"
"864821",22,3,30,12,44,49,37.15467,-3.087353,"AV597"
"910572",22,3,30,12,50,38,37.154663,-3.087337,"AV597"
"952826",22,3,30,12,56,23,37.154613,-3.087292,"AV597"
"1002523",22,3,30,13,2,16,37.15475,-3.087307,"AV597"
"1039551",22,3,30,13,7,57,37.154693,-3.087287,"AV597"
"1092945",22,3,30,13,13,54,37.154663,-3.08731,"AV597"
"1158364",22,3,30,13,20,3,37.154754,-3.087533,"AV597"
"1223673",22,3,30,13,26,12,37.155487,-3.090757,"AV597"
"1289842",22,3,30,13,32,22,37.155605,-3.092959,"AV597"
"1325078",22,3,30,13,38,1,37.156085,-3.093045,"AV597"
"1374603",22,3,30,13,43,55,37.156696,-3.092393,"AV597"
"1438259",22,3,30,13,50,3,37.15678,-3.093966,"AV597"
"1501030",22,3,30,13,56,10,37.156635,-3.095934,"AV597"
"1542975",22,3,30,14,1,56,37.157135,-3.097559,"AV597"
"1592315",22,3,30,14,7,49,37.158367,-3.097876,"AV597"
"1622029",22,3,30,14,13,22,37.159259,-3.09659,"AV597"
"1659348",22,3,30,14,19,3,37.159358,-3.096343,"AV597"
"1712125",22,3,30,14,25,0,37.15953,-3.095959,"AV597"
"1750240",22,3,30,14,30,42,37.159675,-3.095186,"AV597"
"1785865",22,3,30,14,36,21,37.160682,-3.09348,"AV597"
"1796862",22,3,30,14,41,35,37.162025,-3.092359,"AV597"
"1823765",22,3,30,14,47,7,37.160205,-3.091848,"AV597"
"1889057",22,3,30,14,53,16,37.159534,-3.091148,"AV597"
"1930418",22,3,30,14,59,1,37.158012,-3.090658,"AV597"
"1947175",22,3,30,15,4,22,37.158206,-3.091208,"AV597"
"1954195",22,3,30,15,9,32,37.158298,-3.090978,"AV597"
"1961214",22,3,30,15,14,43,37.157676,-3.090594,"AV597"
"1989536",22,3,30,15,20,16,37.157451,-3.091062,"AV597"
"2004497",22,3,30,15,25,35,37.157962,-3.089808,"AV597"
"2012509",22,3,30,15,30,47,37.158077,-3.089506,"AV597"
"2053244",22,3,30,15,36,32,37.157333,-3.090371,"AV597"
"2078674",22,3,30,15,42,1,37.157649,-3.089192,"AV597"
"2095898",22,3,30,15,47,22,37.158329,-3.088583,"AV597"
"2161817",22,3,30,15,53,32,37.158149,-3.088358,"AV597"
"2210965",22,3,30,15,59,25,37.159004,-3.088425,"AV597"
"2259607",22,3,30,16,5,17,37.157829,-3.088585,"AV597"
"2325661",22,3,30,16,11,27,37.157077,-3.088859,"AV597"
"2386882",22,3,30,16,17,32,37.155662,-3.088896,"AV597"
"2412513",22,3,30,16,23,1,37.155406,-3.089509,"AV597"
"2438903",22,3,30,16,28,31,37.154701,-3.089008,"AV597"
"2446906",22,3,30,16,33,42,37.154655,-3.089272,"AV597"
"2463140",22,3,30,16,39,3,37.154796,-3.087198,"AV597"
"2477255",22,3,30,16,44,21,37.154724,-3.087289,"AV597"
"2618086",22,3,30,16,56,50,37.154453,-3.087325,"AV597"
"2683716",22,3,30,17,3,0,37.15464,-3.087349,"AV597"
"3049961",22,3,30,17,34,25,37.154594,-3.087367,"AV597"
"5297130",22,3,30,20,43,36,37.154533,-3.08698,"AV597"
"5362847",22,3,30,20,49,46,37.154579,-3.087128,"AV597"
"5428712",22,3,30,20,55,56,37.154636,-3.087347,"AV597"
"5480770",22,3,30,21,1,52,37.154647,-3.087311,"AV597"
"5539163",22,3,30,21,7,54,37.154613,-3.087336,"AV597"
"5597775",22,3,30,21,13,56,37.154613,-3.087341,"AV597"
"5663584",22,3,30,21,20,6,37.154579,-3.087096,"AV597"
"5677771",22,3,30,21,25,24,37.154655,-3.087393,"AV597"
"5735629",22,3,30,21,31,26,37.154594,-3.0873,"AV597"
"5753911",22,3,30,21,36,48,37.154525,-3.087319,"AV597"
"5765037",22,3,30,21,42,3,37.154651,-3.087224,"AV597"
"5830814",22,3,30,21,48,13,37.154563,-3.087401,"AV597"
"5896587",22,3,30,21,54,23,37.154483,-3.087396,"AV597"
"5962448",22,3,30,22,0,33,37.154483,-3.087639,"AV597"
"6028412",22,3,30,22,6,43,37.154617,-3.087464,"AV597"
"6094474",22,3,30,22,12,53,37.154644,-3.087464,"AV597"
"6160669",22,3,30,22,19,3,37.154556,-3.087118,"AV597"
"6301212",22,3,30,22,31,31,37.154533,-3.087458,"AV597"
"6366666",22,3,30,22,37,40,37.154613,-3.087821,"AV597"
"6408398",22,3,30,22,43,25,37.154552,-3.087385,"AV597"
"6474470",22,3,30,22,49,35,37.154514,-3.087394,"AV597"
"6540529",22,3,30,22,55,45,37.154567,-3.087521,"AV597"
"6606594",22,3,30,23,1,55,37.154655,-3.087268,"AV597"
"6672689",22,3,30,23,8,5,37.154579,-3.087366,"AV597"
"6738804",22,3,30,23,14,15,37.154636,-3.08739,"AV597"
"6804930",22,3,30,23,20,25,37.154487,-3.087121,"AV597"
"6871111",22,3,30,23,26,35,37.154563,-3.087421,"AV597"
"6936375",22,3,30,23,32,44,37.154567,-3.087334,"AV597"
"7001716",22,3,30,23,38,53,37.154632,-3.087363,"AV597"
"7067075",22,3,30,23,45,2,37.154525,-3.087297,"AV597"
"7132435",22,3,30,23,51,11,37.154541,-3.08717,"AV597"
"7197848",22,3,30,23,57,20,37.154346,-3.087101,"AV597"
"7714792",22,3,31,0,41,23,37.154701,-3.087374,"AV597"
"14012631",22,3,31,9,31,25,37.154884,-3.087279,"AV597"
"14020388",22,3,31,9,36,36,37.154933,-3.087287,"AV597"
"14031202",22,3,31,9,41,50,37.154762,-3.087306,"AV597"
"14050058",22,3,31,9,47,12,37.154956,-3.087302,"AV597"
"14089820",22,3,31,9,52,55,37.154861,-3.087232,"AV597"
"14097328",22,3,31,9,58,6,37.154792,-3.087269,"AV597"
"14105936",22,3,31,10,3,18,37.15485,-3.087201,"AV597"
"14115668",22,3,31,10,8,31,37.154777,-3.087181,"AV597"
"14123510",22,3,31,10,13,42,37.154743,-3.087264,"AV597"
"14133527",22,3,31,10,18,55,37.154808,-3.087246,"AV597"
"14142575",22,3,31,10,24,7,37.154777,-3.087262,"AV597"
"14150607",22,3,31,10,29,19,37.154712,-3.087291,"AV597"
"14160120",22,3,31,10,34,32,37.154705,-3.087347,"AV597"
"14168150",22,3,31,10,39,44,37.154663,-3.087236,"AV597"
"14176245",22,3,31,10,44,56,37.154731,-3.087339,"AV597"
"14186329",22,3,31,10,50,10,37.154792,-3.087302,"AV597"
"14194912",22,3,31,10,55,22,37.154739,-3.087446,"AV597"
"14203002",22,3,31,11,0,33,37.154193,-3.088143,"AV597"
"14211588",22,3,31,11,5,46,37.152343,-3.089417,"AV597"
"14221171",22,3,31,11,10,59,37.152976,-3.092138,"AV597"
"14230268",22,3,31,11,16,12,37.153877,-3.093957,"AV597"
"14241360",22,3,31,11,21,27,37.15372,-3.095182,"AV597"
"14250447",22,3,31,11,26,40,37.153316,-3.096003,"AV597"
"14260585",22,3,31,11,31,54,37.153442,-3.096999,"AV597"
"14268732",22,3,31,11,37,6,37.15382,-3.09805,"AV597"
"14277864",22,3,31,11,42,20,37.153663,-3.099121,"AV597"
"14285976",22,3,31,11,47,32,37.153469,-3.100277,"AV597"
"14295106",22,3,31,11,52,45,37.153358,-3.100812,"AV597"
"14308645",22,3,31,11,58,3,37.153388,-3.101237,"AV597"
"14318711",22,3,31,12,3,16,37.153556,-3.101471,"AV597"
"14326827",22,3,31,12,8,29,37.153697,-3.101252,"AV597"
"14335924",22,3,31,12,13,42,37.154186,-3.100709,"AV597"
"14345015",22,3,31,12,18,55,37.154411,-3.100655,"AV597"
"14354118",22,3,31,12,24,8,37.154415,-3.10175,"AV597"
"14364245",22,3,31,12,29,22,37.154468,-3.102632,"AV597"
"14380352",22,3,31,12,34,42,37.154876,-3.102752,"AV597"
"14390475",22,3,31,12,39,57,37.15501,-3.103502,"AV597"
"14404144",22,3,31,12,45,15,37.154609,-3.104373,"AV597"
"14418433",22,3,31,12,50,33,37.154518,-3.104407,"AV597"
"14427580",22,3,31,12,55,46,37.154464,-3.104741,"AV597"
"14492877",22,3,31,13,1,56,37.154518,-3.104603,"AV597"
"14539078",22,3,31,13,7,46,37.154552,-3.104526,"AV597"
"14604389",22,3,31,13,13,55,37.154212,-3.105923,"AV597"
"14613474",22,3,31,13,19,7,37.154407,-3.106912,"AV597"
"14622588",22,3,31,13,24,20,37.155273,-3.106172,"AV597"
"14637522",22,3,31,13,29,40,37.155582,-3.105952,"AV597"
"14652149",22,3,31,13,34,58,37.155525,-3.105845,"AV597"
"14661240",22,3,31,13,40,10,37.155826,-3.105873,"AV597"
"14686279",22,3,31,13,45,40,37.155548,-3.105592,"AV597"
"14695347",22,3,31,13,50,52,37.15583,-3.105519,"AV597"
"14704436",22,3,31,13,56,5,37.155746,-3.105093,"AV597"
"14713491",22,3,31,14,1,18,37.155895,-3.10473,"AV597"
"14724558",22,3,31,14,6,34,37.155998,-3.104687,"AV597"
"14733613",22,3,31,14,11,47,37.155872,-3.104182,"AV597"
"14751832",22,3,31,14,17,10,37.156425,-3.104351,"AV597"
"14760878",22,3,31,14,22,23,37.156036,-3.103535,"AV597"
"14769943",22,3,31,14,27,36,37.156436,-3.104198,"AV597"
"14782028",22,3,31,14,32,52,37.156585,-3.104449,"AV597"
"14799001",22,3,31,14,38,14,37.156471,-3.103454,"AV597"
