Dispositivo;Latitud;Longitud;Fecha;Bateria
GPS_13;42.7835200000;-1.6871300000;21-07-2022 10:02:23;GOOD;
GPS_13;42.7835500000;-1.6871600000;21-07-2022 10:04:23;GOOD;
GPS_13;42.7866600000;-1.6742600000;01-08-2022 13:50:36;GOOD;
GPS_13;42.8000600000;-1.6416900000;01-08-2022 13:58:21;GOOD;
GPS_13;42.7930000000;-1.7031300000;01-08-2022 17:36:13;LOW;
GPS_13;36.8822300000;-2.4190700000;02-08-2022 08:15:31;LOW;
GPS_13;36.8156700000;-2.2240600000;02-08-2022 11:36:56;LOW;
GPS_13;36.8151100000;-2.2280900000;02-08-2022 11:26:56;LOW;
GPS_13;36.7818100000;-2.2253400000;02-08-2022 11:16:56;LOW;
GPS_13;36.8065000000;-2.1347700000;02-08-2022 11:55:30;LOW;
GPS_13;36.8157700000;-2.1639500000;02-08-2022 11:45:30;LOW;
GPS_13;36.7878400000;-2.1079400000;02-08-2022 12:05:28;LOW;
GPS_13;36.8711500000;-2.2802100000;19-10-2022 16:24:14;LOW;
GPS_13;37.1094400000;-2.5280800000;19-10-2022 16:44:31;LOW;
GPS_13;36.9462300000;-2.4525500000;19-10-2022 16:34:31;LOW;
GPS_13;37.1440100000;-2.7493600000;19-10-2022 16:54:30;LOW;
GPS_13;37.3003400000;-3.1096800000;19-10-2022 17:14:14;LOW;
GPS_13;37.1867400000;-2.9549300000;19-10-2022 17:04:14;LOW;
GPS_13;37.1951900000;-3.6336100000;19-10-2022 18:04:26;LOW;
GPS_13;37.1675800000;-3.6100800000;19-10-2022 18:13:45;LOW;
GPS_13;37.1951300000;-3.6336000000;19-10-2022 17:53:45;LOW;
GPS_13;36.8514500000;-2.1272000000;25-10-2022 11:26:35;GOOD;
GPS_13;36.8507000000;-2.1280500000;25-10-2022 12:16:42;LOW;
GPS_13;36.8507000000;-2.1280500000;25-10-2022 12:06:42;LOW;
GPS_13;36.8507000000;-2.1280500000;25-10-2022 11:56:42;LOW;
GPS_13;36.8526700000;-2.1283300000;25-10-2022 13:16:42;LOW;
GPS_13;36.8529300000;-2.1285900000;25-10-2022 12:56:42;LOW;
GPS_13;36.8533600000;-2.1281600000;25-10-2022 13:06:42;LOW;
GPS_13;36.8512100000;-2.1279000000;25-10-2022 13:24:56;LOW;
GPS_13;36.8507700000;-2.1279600000;25-10-2022 13:54:53;LOW;
GPS_13;36.8507600000;-2.1278100000;25-10-2022 14:05:00;LOW;
GPS_13;36.8508800000;-2.1274100000;25-10-2022 15:25:10;LOW;
GPS_13;36.8507900000;-2.1273200000;25-10-2022 15:15:10;LOW;
GPS_13;36.8509200000;-2.1274100000;25-10-2022 15:05:10;LOW;
GPS_13;36.8508400000;-2.1277800000;25-10-2022 15:54:33;LOW;
GPS_13;36.8504100000;-2.1271800000;25-10-2022 15:34:33;LOW;
GPS_13;36.8508400000;-2.1277800000;25-10-2022 15:44:33;LOW;
GPS_13;36.8508400000;-2.1275300000;25-10-2022 16:52:47;LOW;
GPS_13;36.8508400000;-2.1275300000;25-10-2022 16:42:47;LOW;
GPS_13;36.8509300000;-2.1276900000;25-10-2022 17:02:38;LOW;
GPS_13;36.8508800000;-2.1274700000;25-10-2022 17:12:35;LOW;
GPS_13;36.8505900000;-2.1273500000;25-10-2022 17:52:37;LOW;
GPS_13;36.8507200000;-2.1275200000;25-10-2022 17:32:37;LOW;
GPS_13;36.8506300000;-2.1275200000;25-10-2022 17:42:37;LOW;
GPS_13;36.8510000000;-2.1273800000;25-10-2022 18:32:59;LOW;
GPS_13;36.8508600000;-2.1274100000;25-10-2022 18:42:34;LOW;
GPS_13;36.8507800000;-2.1272000000;25-10-2022 19:02:35;LOW;
GPS_13;36.8507800000;-2.1272900000;25-10-2022 18:52:35;LOW;
GPS_13;36.8515100000;-2.1272300000;25-10-2022 19:33:05;LOW;
GPS_13;36.8510000000;-2.1271400000;25-10-2022 19:23:05;LOW;
GPS_13;36.8516600000;-2.1270400000;25-10-2022 19:42:02;LOW;
GPS_13;36.8516500000;-2.1269200000;25-10-2022 19:51:59;LOW;
GPS_13;36.8515800000;-2.1268900000;25-10-2022 20:02:04;LOW;
GPS_13;36.8514300000;-2.1271100000;26-10-2022 00:02:41;LOW;
GPS_13;36.8514300000;-2.1271100000;25-10-2022 23:52:41;LOW;
GPS_13;36.8514700000;-2.1269800000;26-10-2022 03:53:20;LOW;
GPS_13;36.8511200000;-2.1260400000;26-10-2022 04:57:56;LOW;
GPS_13;36.8513800000;-2.1269800000;26-10-2022 04:47:56;LOW;
GPS_13;36.8514200000;-2.1269800000;26-10-2022 04:37:56;LOW;
GPS_13;36.8514900000;-2.1270100000;26-10-2022 06:29:05;LOW;
GPS_13;36.8514500000;-2.1270100000;26-10-2022 06:19:05;LOW;
GPS_13;36.8515800000;-2.1268300000;26-10-2022 07:41:00;LOW;
GPS_13;36.8512000000;-2.1272600000;26-10-2022 09:33:59;LOW;
GPS_13;36.8512900000;-2.1268300000;26-10-2022 09:53:58;LOW;
GPS_13;36.8507400000;-2.1276900000;26-10-2022 10:23:56;LOW;
GPS_13;36.8508300000;-2.1274300000;26-10-2022 10:03:56;LOW;
GPS_13;36.8508300000;-2.1276900000;26-10-2022 10:13:56;LOW;
GPS_13;36.8508100000;-2.1273500000;26-10-2022 10:33:54;LOW;
GPS_13;36.8506100000;-2.1281700000;26-10-2022 10:43:54;LOW;
GPS_13;36.8478200000;-2.1432800000;26-10-2022 11:53:49;LOW;
GPS_13;36.8473500000;-2.1434500000;26-10-2022 11:33:49;LOW;
GPS_13;36.8486800000;-2.1436200000;26-10-2022 11:43:49;LOW;
GPS_13;36.8452400000;-2.1435900000;26-10-2022 12:03:47;LOW;
GPS_13;36.8443300000;-2.1432500000;26-10-2022 12:17:24;LOW;
GPS_13;36.8444400000;-2.1431000000;26-10-2022 12:33:37;LOW;
GPS_13;36.8477200000;-2.1430400000;26-10-2022 14:13:21;LOW;
GPS_13;36.8442000000;-2.1428600000;26-10-2022 13:53:21;LOW;
GPS_13;36.8453600000;-2.1435500000;26-10-2022 14:03:21;LOW;
GPS_13;36.8491300000;-2.1434900000;26-10-2022 14:26:27;LOW;
GPS_13;36.8502700000;-2.1356200000;26-10-2022 15:23:15;LOW;
GPS_13;36.8500100000;-2.1381900000;26-10-2022 15:13:15;LOW;
GPS_13;36.8495000000;-2.1410200000;26-10-2022 15:03:15;LOW;
GPS_13;36.8506900000;-2.1276200000;26-10-2022 16:13:05;LOW;
GPS_13;36.8506100000;-2.1278800000;26-10-2022 15:53:05;LOW;
GPS_13;36.8504800000;-2.1278800000;26-10-2022 16:03:05;LOW;
GPS_13;36.8506500000;-2.1278100000;26-10-2022 16:33:35;LOW;
GPS_13;36.8508100000;-2.1276200000;26-10-2022 17:33:42;LOW;
GPS_13;36.8508100000;-2.1276200000;26-10-2022 17:23:42;LOW;
