year,month,day,hour,minute,second,lat,long,id_gps,date,date_time
23,4,12,13,22,34,40.453468,-3.508471,AV572,2023-04-12,2023-04-12T13:22:34Z
23,4,12,13,37,1,40.453529,-3.508497,AV572,2023-04-12,2023-04-12T13:37:01Z
23,4,12,13,52,5,40.453506,-3.508428,AV572,2023-04-12,2023-04-12T13:52:05Z
23,4,12,14,7,10,40.453392,-3.508265,AV572,2023-04-12,2023-04-12T14:07:10Z
23,4,12,14,22,10,40.453594,-3.508349,AV572,2023-04-12,2023-04-12T14:22:10Z
23,4,12,14,37,20,40.453121,-3.508825,AV572,2023-04-12,2023-04-12T14:37:20Z
23,4,12,14,52,16,40.453517,-3.508452,AV572,2023-04-12,2023-04-12T14:52:16Z
23,4,12,15,7,27,40.453453,-3.50849,AV572,2023-04-12,2023-04-12T15:07:27Z
23,4,12,15,22,33,40.453563,-3.508538,AV572,2023-04-12,2023-04-12T15:22:33Z
23,4,12,15,37,25,40.453479,-3.508511,AV572,2023-04-12,2023-04-12T15:37:25Z
23,4,12,15,52,30,40.453521,-3.508545,AV572,2023-04-12,2023-04-12T15:52:30Z
23,4,12,16,7,31,40.453578,-3.508554,AV572,2023-04-12,2023-04-12T16:07:31Z
23,4,12,16,22,40,40.453613,-3.508609,AV572,2023-04-12,2023-04-12T16:22:40Z
23,4,12,16,37,37,40.453559,-3.508535,AV572,2023-04-12,2023-04-12T16:37:37Z
23,4,12,16,52,37,40.453605,-3.508531,AV572,2023-04-12,2023-04-12T16:52:37Z
23,4,12,17,7,41,40.453453,-3.508767,AV572,2023-04-12,2023-04-12T17:07:41Z
23,4,12,17,22,45,40.453578,-3.50844,AV572,2023-04-12,2023-04-12T17:22:45Z
23,4,12,17,37,45,40.453578,-3.508452,AV572,2023-04-12,2023-04-12T17:37:45Z
23,4,12,17,52,49,40.453613,-3.50861,AV572,2023-04-12,2023-04-12T17:52:49Z
23,4,12,18,7,52,40.453571,-3.508524,AV572,2023-04-12,2023-04-12T18:07:52Z
23,4,12,18,22,52,40.453506,-3.50854,AV572,2023-04-12,2023-04-12T18:22:52Z
23,4,12,18,37,56,40.453582,-3.508509,AV572,2023-04-12,2023-04-12T18:37:56Z
23,4,12,18,52,59,40.453498,-3.508554,AV572,2023-04-12,2023-04-12T18:52:59Z
23,4,12,19,8,2,40.453586,-3.50843,AV572,2023-04-12,2023-04-12T19:08:02Z
23,4,12,19,23,5,40.45354,-3.508517,AV572,2023-04-12,2023-04-12T19:23:05Z
23,4,12,19,38,8,40.453594,-3.508422,AV572,2023-04-12,2023-04-12T19:38:08Z
23,4,12,19,53,13,40.453529,-3.508424,AV572,2023-04-12,2023-04-12T19:53:13Z
23,4,12,20,8,15,40.453563,-3.508639,AV572,2023-04-12,2023-04-12T20:08:15Z
23,4,12,20,23,20,40.453517,-3.50857,AV572,2023-04-12,2023-04-12T20:23:20Z
23,4,12,20,38,20,40.453449,-3.508529,AV572,2023-04-12,2023-04-12T20:38:20Z
23,4,12,20,53,24,40.453529,-3.508492,AV572,2023-04-12,2023-04-12T20:53:24Z
23,4,12,21,8,27,40.453521,-3.508771,AV572,2023-04-12,2023-04-12T21:08:27Z
23,4,12,21,23,28,40.453514,-3.508533,AV572,2023-04-12,2023-04-12T21:23:28Z
23,4,12,21,38,30,40.453556,-3.508621,AV572,2023-04-12,2023-04-12T21:38:30Z
23,4,12,21,53,35,40.453521,-3.508503,AV572,2023-04-12,2023-04-12T21:53:35Z
23,4,12,22,8,38,40.453483,-3.508538,AV572,2023-04-12,2023-04-12T22:08:38Z
23,4,12,22,23,42,40.453548,-3.508502,AV572,2023-04-12,2023-04-12T22:23:42Z
23,4,12,22,38,44,40.453475,-3.5085,AV572,2023-04-12,2023-04-12T22:38:44Z
23,4,12,22,53,45,40.45351,-3.508465,AV572,2023-04-12,2023-04-12T22:53:45Z
23,4,12,23,8,49,40.453498,-3.508477,AV572,2023-04-12,2023-04-12T23:08:49Z
23,4,12,23,23,53,40.453582,-3.5085480000000002,AV572,2023-04-12,2023-04-12T23:23:53Z
