year,month,day,hour,minute,second,lat,long,id_gps,date,date_time
23,4,13,9,47,9,40.452907,-3.508704,AV611,2023-04-13,2023-04-13T09:47:09Z
23,4,13,10,1,23,40.453556,-3.508621,AV611,2023-04-13,2023-04-13T10:01:23Z
23,4,13,10,16,41,40.454143,-3.50883,AV611,2023-04-13,2023-04-13T10:16:41Z
23,4,13,10,32,5,40.454135,-3.509297,AV611,2023-04-13,2023-04-13T10:32:05Z
23,4,13,10,46,34,40.454063,-3.508611,AV611,2023-04-13,2023-04-13T10:46:34Z
23,4,13,11,47,10,40.453651,-3.508658,AV611,2023-04-13,2023-04-13T11:47:10Z
23,4,13,12,2,22,40.453643,-3.508856,AV611,2023-04-13,2023-04-13T12:02:22Z
23,4,13,12,16,55,40.453681,-3.509108,AV611,2023-04-13,2023-04-13T12:16:55Z
23,4,13,13,2,28,40.453212,-3.50829,AV611,2023-04-13,2023-04-13T13:02:28Z
23,4,13,14,47,51,40.452991,-3.509021,AV611,2023-04-13,2023-04-13T14:47:51Z
23,4,13,15,17,38,40.454036,-3.508994,AV611,2023-04-13,2023-04-13T15:17:38Z
23,4,13,15,32,34,40.453456,-3.508384,AV611,2023-04-13,2023-04-13T15:32:34Z
23,4,13,16,2,33,40.453502,-3.508654,AV611,2023-04-13,2023-04-13T16:02:33Z
23,4,13,16,17,25,40.453826,-3.508706,AV611,2023-04-13,2023-04-13T16:17:25Z
23,4,13,16,32,14,40.453674,-3.508487,AV611,2023-04-13,2023-04-13T16:32:14Z
23,4,13,16,47,52,40.45383,-3.508955,AV611,2023-04-13,2023-04-13T16:47:52Z
23,4,13,17,3,8,40.453941,-3.508704,AV611,2023-04-13,2023-04-13T17:03:08Z
23,4,13,17,17,43,40.454002,-3.508531,AV611,2023-04-13,2023-04-13T17:17:43Z
23,4,13,17,32,44,40.453636,-3.508557,AV611,2023-04-13,2023-04-13T17:32:44Z
23,4,13,17,47,28,40.453594,-3.50876,AV611,2023-04-13,2023-04-13T17:47:28Z
23,4,13,18,2,27,40.453723,-3.50888,AV611,2023-04-13,2023-04-13T18:02:27Z
23,4,13,18,17,39,40.453811,-3.508305,AV611,2023-04-13,2023-04-13T18:17:39Z
23,4,13,18,47,49,40.453426,-3.508534,AV611,2023-04-13,2023-04-13T18:47:49Z
23,4,13,19,33,7,40.453811,-3.50873,AV611,2023-04-13,2023-04-13T19:33:07Z
23,4,13,19,48,13,40.453868,-3.50859,AV611,2023-04-13,2023-04-13T19:48:13Z
23,4,13,20,3,0,40.453479,-3.508958,AV611,2023-04-13,2023-04-13T20:03:00Z
23,4,13,20,18,40,40.454124,-3.507786,AV611,2023-04-13,2023-04-13T20:18:40Z
23,4,13,20,33,0,40.454566,-3.508174,AV611,2023-04-13,2023-04-13T20:33:00Z
23,4,13,20,47,50,40.454521,-3.508164,AV611,2023-04-13,2023-04-13T20:47:50Z
23,4,13,21,2,56,40.453788,-3.508675,AV611,2023-04-13,2023-04-13T21:02:56Z
23,4,13,21,18,3,40.454273,-3.508397,AV611,2023-04-13,2023-04-13T21:18:03Z
23,4,13,21,32,57,40.453788,-3.508306,AV611,2023-04-13,2023-04-13T21:32:57Z
23,4,13,21,48,30,40.453845,-3.508416,AV611,2023-04-13,2023-04-13T21:48:30Z
23,4,13,22,2,59,40.453922,-3.508869,AV611,2023-04-13,2023-04-13T22:02:59Z
23,4,13,22,18,0,40.453899,-3.509024,AV611,2023-04-13,2023-04-13T22:18:00Z
23,4,13,22,33,18,40.453659,-3.508542,AV611,2023-04-13,2023-04-13T22:33:18Z
23,4,13,22,48,1,40.453346,-3.508597,AV611,2023-04-13,2023-04-13T22:48:01Z
23,4,13,23,3,7,40.453609,-3.508602,AV611,2023-04-13,2023-04-13T23:03:07Z
23,4,13,23,18,13,40.453414,-3.508521,AV611,2023-04-13,2023-04-13T23:18:13Z
