"id","year","month","day","hour","minute","second","lat","long","id_gps"
"367682",22,7,7,7,48,39,36.789894,-4.974494,"AV571"
"508170",22,7,7,8,1,4,36.788146,-4.945951,"AV571"
"555800",22,7,7,8,6,54,36.788127,-4.94602,"AV571"
"621860",22,7,7,8,13,2,36.788043,-4.946139,"AV571"
"687277",22,7,7,8,19,8,36.788036,-4.946156,"AV571"
"807632",22,7,7,8,31,13,36.788047,-4.946095,"AV571"
"1086733",22,7,7,8,56,2,36.788013,-4.946086,"AV571"
"1096146",22,7,7,9,1,13,36.788032,-4.946123,"AV571"
"1110259",22,7,7,9,6,29,36.788089,-4.945855,"AV571"
"1149179",22,7,7,9,12,10,36.78807,-4.945866,"AV571"
"1160592",22,7,7,9,17,22,36.788055,-4.94608,"AV571"
"1197238",22,7,7,9,23,1,36.788139,-4.945815,"AV571"
"1239627",22,7,7,9,28,45,36.788024,-4.9459,"AV571"
"1277789",22,7,7,9,34,25,36.788127,-4.945901,"AV571"
"1289891",22,7,7,9,39,39,36.787918,-4.946103,"AV571"
"1298374",22,7,7,9,44,49,36.788078,-4.946129,"AV571"
"1338571",22,7,7,9,50,31,36.787929,-4.945985,"AV571"
"1351727",22,7,7,9,55,46,36.788063,-4.945912,"AV571"
"1373944",22,7,7,10,1,10,36.788017,-4.946013,"AV571"
"1404166",22,7,7,10,6,42,36.787982,-4.946026,"AV571"
"1445255",22,7,7,10,12,25,36.787986,-4.945989,"AV571"
"1489212",22,7,7,10,18,11,36.787982,-4.945939,"AV571"
"1525105",22,7,7,10,23,49,36.787963,-4.946038,"AV571"
"1533578",22,7,7,10,28,58,36.787986,-4.946117,"AV571"
"1543074",22,7,7,10,34,9,36.788017,-4.94624,"AV571"
"1550588",22,7,7,10,39,18,36.788009,-4.946048,"AV571"
"1560095",22,7,7,10,44,28,36.787925,-4.946075,"AV571"
"1587082",22,7,7,10,49,57,36.788051,-4.946095,"AV571"
"1628134",22,7,7,10,55,40,36.787914,-4.946053,"AV571"
"1638611",22,7,7,11,0,52,36.788185,-4.946313,"AV571"
"1666161",22,7,7,11,6,21,36.788002,-4.946078,"AV571"
"1715771",22,7,7,11,12,12,36.787956,-4.946064,"AV571"
"1762457",22,7,7,11,18,0,36.788051,-4.946061,"AV571"
"1800323",22,7,7,11,23,39,36.788063,-4.945993,"AV571"
"1840349",22,7,7,11,29,20,36.788024,-4.946043,"AV571"
"1879593",22,7,7,11,35,1,36.788047,-4.946101,"AV571"
"1925994",22,7,7,11,40,49,36.788002,-4.946022,"AV571"
"1963573",22,7,7,11,46,28,36.788036,-4.946064,"AV571"
"1995378",22,7,7,11,52,1,36.788055,-4.946033,"AV571"
"2005360",22,7,7,11,57,11,36.788017,-4.946066,"AV571"
"2033878",22,7,7,12,2,42,36.78799,-4.946105,"AV571"
"2041881",22,7,7,12,7,51,36.788002,-4.946129,"AV571"
"2051884",22,7,7,12,13,2,36.788124,-4.945945,"AV571"
"2078756",22,7,7,12,18,31,36.787872,-4.94604,"AV571"
"2095023",22,7,7,12,23,49,36.788028,-4.945941,"AV571"
"2132624",22,7,7,12,29,28,36.78815,-4.946001,"AV571"
"2164560",22,7,7,12,35,1,36.788166,-4.946046,"AV571"
"2176897",22,7,7,12,40,15,36.787895,-4.946162,"AV571"
"2185900",22,7,7,12,45,25,36.787971,-4.946178,"AV571"
"2193911",22,7,7,12,50,34,36.78799,-4.945993,"AV571"
"2218823",22,7,7,12,56,1,36.787944,-4.946149,"AV571"
"2227802",22,7,7,13,1,11,36.788043,-4.945881,"AV571"
"2237838",22,7,7,13,6,23,36.787914,-4.946107,"AV571"
"2245850",22,7,7,13,11,32,36.788002,-4.946042,"AV571"
"2254851",22,7,7,13,16,43,36.788032,-4.945966,"AV571"
"2263866",22,7,7,13,21,53,36.788078,-4.946094,"AV571"
"2271896",22,7,7,13,27,3,36.788047,-4.946129,"AV571"
"2278923",22,7,7,13,32,11,36.787933,-4.946064,"AV571"
"2287950",22,7,7,13,37,21,36.78794,-4.946105,"AV571"
