codigo_gps,lat,lng,time_stamp,id_ganadero,animal,type
AV597,37.025451,-2.992238,2022-01-26T10:58:28Z,SNE-1,oveja,medición continua
AV597,37.025382,-2.992245,2022-01-26T11:04:01Z,SNE-1,oveja,medición continua
AV597,37.025398,-2.992298,2022-01-26T11:09:30Z,SNE-1,oveja,medición continua
AV597,37.025184,-2.992372,2022-01-26T11:14:43Z,SNE-1,oveja,medición continua
AV597,37.025329,-2.992324,2022-01-26T11:20:25Z,SNE-1,oveja,medición continua
AV597,37.025341,-2.992381,2022-01-26T11:25:37Z,SNE-1,oveja,medición continua
AV597,37.022239,-2.991792,2022-01-26T11:30:52Z,SNE-1,oveja,medición continua
AV597,37.037731,-2.999174,2022-01-26T11:36:05Z,SNE-1,oveja,medición continua
AV597,37.056011,-2.999684,2022-01-26T11:41:27Z,SNE-1,oveja,medición continua
AV597,37.077384,-3.020421,2022-01-26T11:46:45Z,SNE-1,oveja,medición continua
AV597,37.091766,-3.02521,2022-01-26T11:51:57Z,SNE-1,oveja,medición continua
AV597,37.117961,-3.032119,2022-01-26T11:57:16Z,SNE-1,oveja,medición continua
AV597,37.123729,-3.036036,2022-01-26T12:02:29Z,SNE-1,oveja,medición continua
AV597,37.141475,-3.047935,2022-01-26T12:07:42Z,SNE-1,oveja,medición continua
AV597,37.162624,-3.051686,2022-01-26T12:13:04Z,SNE-1,oveja,medición continua
AV597,37.176288,-3.050647,2022-01-26T12:18:17Z,SNE-1,oveja,medición continua
AV597,37.161792,-3.073153,2022-01-26T12:23:31Z,SNE-1,oveja,medición continua
AV597,37.160533,-3.077412,2022-01-26T12:28:44Z,SNE-1,oveja,medición continua
AV597,37.154582,-3.085871,2022-01-26T12:33:56Z,SNE-1,oveja,medición continua
AV597,37.153987,-3.08641,2022-01-26T12:39:15Z,SNE-1,oveja,medición continua
AV597,37.154552,-3.0873,2022-01-26T12:45:26Z,SNE-1,oveja,medición continua
AV597,37.15451,-3.087245,2022-01-26T12:51:37Z,SNE-1,oveja,medición continua
AV597,37.154449,-3.087406,2022-01-26T12:56:59Z,SNE-1,oveja,medición continua
AV597,37.154491,-3.087473,2022-01-26T13:03:07Z,SNE-1,oveja,medición continua
AV597,37.154438,-3.087434,2022-01-26T13:09:05Z,SNE-1,oveja,medición continua
AV597,37.154518,-3.08742,2022-01-26T13:15:15Z,SNE-1,oveja,medición continua
AV597,37.154434,-3.087408,2022-01-26T13:21:25Z,SNE-1,oveja,medición continua
AV597,37.15443,-3.087556,2022-01-26T13:59:13Z,SNE-1,oveja,medición continua
AV597,37.154659,-3.087313,2022-01-26T14:04:55Z,SNE-1,oveja,medición continua
AV597,37.154712,-3.0872,2022-01-26T14:10:54Z,SNE-1,oveja,medición continua
AV597,37.154693,-3.087196,2022-01-26T14:16:42Z,SNE-1,oveja,medición continua
AV597,37.154876,-3.087911,2022-01-26T14:22:49Z,SNE-1,oveja,medición continua
AV597,37.152191,-3.088805,2022-01-26T14:28:12Z,SNE-1,oveja,medición continua
AV597,37.150936,-3.089962,2022-01-26T14:33:31Z,SNE-1,oveja,medición continua
AV597,37.149383,-3.090116,2022-01-26T14:38:52Z,SNE-1,oveja,medición continua
AV597,37.150215,-3.088924,2022-01-26T14:44:11Z,SNE-1,oveja,medición continua
AV597,37.149715,-3.088539,2022-01-26T14:49:58Z,SNE-1,oveja,medición continua
AV597,37.149547,-3.088711,2022-01-26T14:55:41Z,SNE-1,oveja,medición continua
AV597,37.149627,-3.088577,2022-01-26T15:01:03Z,SNE-1,oveja,medición continua
AV597,37.149559000000004,-3.088522,2022-01-26T15:06:15Z,SNE-1,oveja,medición continua
AV597,37.149375,-3.088497,2022-01-26T15:11:29Z,SNE-1,oveja,medición continua
AV597,37.14981,-3.088592,2022-01-26T15:17:07Z,SNE-1,oveja,medición continua
AV597,37.149765,-3.088567,2022-01-26T15:22:27Z,SNE-1,oveja,medición continua
AV597,37.149715,-3.088616,2022-01-26T15:27:56Z,SNE-1,oveja,medición continua
AV597,37.14923,-3.088511,2022-01-26T15:33:09Z,SNE-1,oveja,medición continua
AV597,37.149452,-3.088602,2022-01-26T15:38:28Z,SNE-1,oveja,medición continua
AV597,37.149818,-3.088738,2022-01-26T15:43:46Z,SNE-1,oveja,medición continua
AV597,37.149833,-3.088965,2022-01-26T15:49:05Z,SNE-1,oveja,medición continua
AV597,37.149845,-3.089473,2022-01-26T15:54:56Z,SNE-1,oveja,medición continua
AV597,37.150733,-3.090195,2022-01-26T16:00:57Z,SNE-1,oveja,medición continua
AV597,37.153514,-3.0882,2022-01-26T16:07:07Z,SNE-1,oveja,medición continua
AV597,37.154651,-3.08738,2022-01-26T16:12:54Z,SNE-1,oveja,medición continua
AV597,37.154663,-3.087305,2022-01-26T16:18:35Z,SNE-1,oveja,medición continua
AV597,37.154678,-3.087285,2022-01-26T16:24:18Z,SNE-1,oveja,medición continua
AV597,37.154529,-3.087236,2022-01-26T16:30:09Z,SNE-1,oveja,medición continua
AV597,37.15427,-3.08716,2022-01-26T16:36:18Z,SNE-1,oveja,medición continua
AV597,37.154613,-3.087572,2022-01-26T17:33:06Z,SNE-1,oveja,medición continua
AV597,37.15438,-3.087448,2022-01-26T17:45:35Z,SNE-1,oveja,medición continua
AV597,37.154563,-3.087138,2022-01-26T17:51:48Z,SNE-1,oveja,medición continua
AV597,37.154392,-3.087418,2022-01-26T17:57:58Z,SNE-1,oveja,medición continua
AV597,37.154624,-3.087222,2022-01-26T18:04:08Z,SNE-1,oveja,medición continua
AV597,37.154537,-3.087489,2022-01-26T18:10:17Z,SNE-1,oveja,medición continua
AV597,37.15451,-3.087586,2022-01-26T18:16:16Z,SNE-1,oveja,medición continua
AV597,37.154518,-3.08744,2022-01-26T18:22:10Z,SNE-1,oveja,medición continua
AV597,37.154487,-3.087446,2022-01-26T18:28:12Z,SNE-1,oveja,medición continua
AV597,37.154529,-3.087383,2022-01-26T18:34:22Z,SNE-1,oveja,medición continua
AV597,37.154438,-3.087428,2022-01-26T18:40:20Z,SNE-1,oveja,medición continua
AV597,37.154411,-3.08741,2022-01-26T18:46:30Z,SNE-1,oveja,medición continua
AV597,37.154514,-3.087445,2022-01-26T18:52:01Z,SNE-1,oveja,medición continua
AV597,37.154472,-3.087403,2022-01-26T18:57:13Z,SNE-1,oveja,medición continua
AV597,37.15451,-3.087419,2022-01-26T19:02:31Z,SNE-1,oveja,medición continua
AV597,37.154548,-3.087489,2022-01-26T19:07:45Z,SNE-1,oveja,medición continua
AV597,37.154491,-3.087419,2022-01-26T19:13:03Z,SNE-1,oveja,medición continua
AV597,37.154621,-3.087459,2022-01-26T19:18:19Z,SNE-1,oveja,medición continua
AV597,37.15456,-3.087416,2022-01-26T19:23:34Z,SNE-1,oveja,medición continua
AV597,37.15456,-3.087443,2022-01-26T19:28:53Z,SNE-1,oveja,medición continua
AV597,37.154327,-3.087438,2022-01-26T19:35:00Z,SNE-1,oveja,medición continua
AV597,37.154598,-3.087484,2022-01-26T19:40:35Z,SNE-1,oveja,medición continua
AV597,37.154567,-3.087439,2022-01-26T19:46:18Z,SNE-1,oveja,medición continua
AV597,37.154548,-3.087385,2022-01-26T19:52:01Z,SNE-1,oveja,medición continua
AV597,37.154579,-3.087355,2022-01-26T19:57:38Z,SNE-1,oveja,medición continua
AV597,37.154541,-3.087373,2022-01-26T20:02:57Z,SNE-1,oveja,medición continua
AV597,37.154544,-3.087367,2022-01-26T20:08:39Z,SNE-1,oveja,medición continua
AV597,37.154468,-3.087447,2022-01-26T20:14:21Z,SNE-1,oveja,medición continua
AV597,37.154571,-3.087335,2022-01-26T20:20:06Z,SNE-1,oveja,medición continua
AV597,37.154575,-3.087394,2022-01-26T20:26:16Z,SNE-1,oveja,medición continua
AV597,37.154453,-3.087245,2022-01-26T20:38:46Z,SNE-1,oveja,medición continua
AV597,37.154609,-3.087244,2022-01-26T20:44:57Z,SNE-1,oveja,medición continua
AV597,37.154468,-3.087362,2022-01-26T20:50:33Z,SNE-1,oveja,medición continua
AV597,37.154548,-3.087524,2022-01-26T20:55:51Z,SNE-1,oveja,medición continua
AV597,37.154487,-3.087337,2022-01-26T21:01:06Z,SNE-1,oveja,medición continua
AV597,37.154544,-3.087486,2022-01-26T21:06:28Z,SNE-1,oveja,medición continua
AV597,37.15451,-3.087425,2022-01-26T21:12:38Z,SNE-1,oveja,medición continua
AV597,37.154533,-3.087423,2022-01-26T21:18:31Z,SNE-1,oveja,medición continua
AV597,37.154556,-3.087452,2022-01-26T21:24:01Z,SNE-1,oveja,medición continua
AV597,37.154563,-3.087518,2022-01-26T21:29:26Z,SNE-1,oveja,medición continua
AV597,37.154571,-3.087466,2022-01-26T21:35:11Z,SNE-1,oveja,medición continua
AV597,37.154579,-3.087473,2022-01-26T21:40:27Z,SNE-1,oveja,medición continua
AV597,37.154483,-3.087512,2022-01-26T21:45:39Z,SNE-1,oveja,medición continua
AV597,37.154464,-3.087425,2022-01-26T21:51:10Z,SNE-1,oveja,medición continua
AV597,37.154449,-3.087421,2022-01-26T21:56:32Z,SNE-1,oveja,medición continua
AV597,37.154533,-3.087567,2022-01-26T22:01:50Z,SNE-1,oveja,medición continua
AV597,37.154472,-3.087415,2022-01-26T22:07:40Z,SNE-1,oveja,medición continua
AV597,37.154468,-3.087416,2022-01-26T22:13:30Z,SNE-1,oveja,medición continua
AV597,37.154453,-3.087413,2022-01-26T22:19:24Z,SNE-1,oveja,medición continua
AV597,37.154476,-3.087438,2022-01-26T22:25:08Z,SNE-1,oveja,medición continua
AV597,37.154479,-3.087457,2022-01-26T22:30:54Z,SNE-1,oveja,medición continua
AV597,37.154472,-3.087452,2022-01-26T22:36:31Z,SNE-1,oveja,medición continua
AV597,37.154445,-3.087437,2022-01-26T22:41:42Z,SNE-1,oveja,medición continua
AV597,37.154472,-3.087456,2022-01-26T22:47:03Z,SNE-1,oveja,medición continua
AV597,37.154472,-3.08744,2022-01-26T22:52:37Z,SNE-1,oveja,medición continua
AV597,37.154476,-3.087502,2022-01-26T22:57:58Z,SNE-1,oveja,medición continua
AV597,37.154521,-3.087413,2022-01-26T23:03:15Z,SNE-1,oveja,medición continua
AV597,37.154563,-3.087559,2022-01-26T23:08:28Z,SNE-1,oveja,medición continua
AV597,37.154521,-3.087426,2022-01-26T23:13:49Z,SNE-1,oveja,medición continua
AV597,37.154571,-3.087362,2022-01-26T23:19:38Z,SNE-1,oveja,medición continua
AV597,37.154533,-3.087351,2022-01-26T23:25:19Z,SNE-1,oveja,medición continua
AV597,37.15446,-3.087418,2022-01-26T23:30:34Z,SNE-1,oveja,medición continua
AV597,37.154487,-3.087431,2022-01-26T23:35:52Z,SNE-1,oveja,medición continua
AV597,37.154602,-3.087411,2022-01-26T23:41:06Z,SNE-1,oveja,medición continua
AV597,37.154518,-3.087221,2022-01-26T23:46:19Z,SNE-1,oveja,medición continua
AV597,37.154663,-3.087398,2022-01-26T23:58:50Z,SNE-1,oveja,medición continua
AV597,37.154697,-3.087856,2022-01-27T00:05:00Z,SNE-1,oveja,medición continua
AV597,37.154392,-3.087281,2022-01-27T00:10:48Z,SNE-1,oveja,medición continua
AV597,37.15456,-3.087465,2022-01-27T00:16:25Z,SNE-1,oveja,medición continua
AV597,37.154491,-3.087411,2022-01-27T00:21:38Z,SNE-1,oveja,medición continua
AV597,37.154483,-3.087254,2022-01-27T00:26:52Z,SNE-1,oveja,medición continua
AV597,37.154506,-3.087386,2022-01-27T00:32:11Z,SNE-1,oveja,medición continua
AV597,37.154426,-3.087214,2022-01-27T00:37:25Z,SNE-1,oveja,medición continua
AV597,37.154499,-3.087448,2022-01-27T00:43:14Z,SNE-1,oveja,medición continua
AV597,37.154472,-3.087428,2022-01-27T00:49:00Z,SNE-1,oveja,medición continua
AV597,37.154472,-3.087451,2022-01-27T00:54:31Z,SNE-1,oveja,medición continua
AV597,37.154598,-3.087468,2022-01-27T01:00:27Z,SNE-1,oveja,medición continua
AV597,37.154541,-3.087496,2022-01-27T01:06:32Z,SNE-1,oveja,medición continua
AV597,37.154514,-3.087447,2022-01-27T01:12:15Z,SNE-1,oveja,medición continua
AV597,37.154533,-3.087452,2022-01-27T01:17:35Z,SNE-1,oveja,medición continua
AV597,37.154518,-3.087435,2022-01-27T01:22:56Z,SNE-1,oveja,medición continua
AV597,37.154544,-3.087393,2022-01-27T01:28:09Z,SNE-1,oveja,medición continua
AV597,37.154514,-3.087434,2022-01-27T01:34:02Z,SNE-1,oveja,medición continua
AV597,37.154499,-3.087415,2022-01-27T01:39:22Z,SNE-1,oveja,medición continua
AV597,37.154563,-3.087373,2022-01-27T01:44:32Z,SNE-1,oveja,medición continua
AV597,37.154464,-3.08753,2022-01-27T01:49:48Z,SNE-1,oveja,medición continua
AV597,37.15417,-3.087349,2022-01-27T01:55:03Z,SNE-1,oveja,medición continua
AV597,37.154403,-3.087488,2022-01-27T02:00:49Z,SNE-1,oveja,medición continua
AV597,37.15464,-3.087289,2022-01-27T02:06:11Z,SNE-1,oveja,medición continua
AV597,37.154563,-3.08738,2022-01-27T02:12:00Z,SNE-1,oveja,medición continua
AV597,37.15446,-3.087452,2022-01-27T02:17:12Z,SNE-1,oveja,medición continua
AV597,37.154533,-3.087455,2022-01-27T02:22:25Z,SNE-1,oveja,medición continua
AV597,37.154479,-3.087456,2022-01-27T02:27:45Z,SNE-1,oveja,medición continua
AV597,37.154514,-3.087422,2022-01-27T02:32:56Z,SNE-1,oveja,medición continua
AV597,37.154468,-3.08752,2022-01-27T02:38:07Z,SNE-1,oveja,medición continua
AV597,37.154453,-3.087538,2022-01-27T02:43:19Z,SNE-1,oveja,medición continua
AV597,37.154479,-3.087481,2022-01-27T02:48:30Z,SNE-1,oveja,medición continua
AV597,37.15451,-3.087459,2022-01-27T02:53:45Z,SNE-1,oveja,medición continua
AV597,37.154491,-3.087455,2022-01-27T02:58:59Z,SNE-1,oveja,medición continua
AV597,37.15451,-3.087488,2022-01-27T03:04:28Z,SNE-1,oveja,medición continua
AV597,37.154487,-3.087509,2022-01-27T03:09:49Z,SNE-1,oveja,medición continua
AV597,37.154525,-3.08753,2022-01-27T03:15:03Z,SNE-1,oveja,medición continua
AV597,37.154487,-3.087533,2022-01-27T03:20:22Z,SNE-1,oveja,medición continua
AV597,37.154487,-3.087472,2022-01-27T03:25:40Z,SNE-1,oveja,medición continua
AV597,37.154418,-3.087658,2022-01-27T03:31:12Z,SNE-1,oveja,medición continua
AV597,37.154396,-3.087401,2022-01-27T03:36:34Z,SNE-1,oveja,medición continua
AV597,37.154552,-3.087506,2022-01-27T03:42:15Z,SNE-1,oveja,medición continua
AV597,37.154514,-3.087458,2022-01-27T03:48:09Z,SNE-1,oveja,medición continua
AV597,37.154609,-3.087505,2022-01-27T03:53:22Z,SNE-1,oveja,medición continua
AV597,37.154567,-3.087491,2022-01-27T03:58:35Z,SNE-1,oveja,medición continua
AV597,37.154502,-3.087485,2022-01-27T04:03:48Z,SNE-1,oveja,medición continua
AV597,37.15451,-3.087447,2022-01-27T04:09:01Z,SNE-1,oveja,medición continua
AV597,37.154552,-3.087472,2022-01-27T04:14:16Z,SNE-1,oveja,medición continua
AV597,37.154525,-3.087487,2022-01-27T04:19:34Z,SNE-1,oveja,medición continua
AV597,37.154636000000004,-3.087513,2022-01-27T04:24:52Z,SNE-1,oveja,medición continua
AV597,37.154537,-3.087452,2022-01-27T04:30:11Z,SNE-1,oveja,medición continua
AV597,37.154613,-3.087552,2022-01-27T04:35:29Z,SNE-1,oveja,medición continua
AV597,37.154735,-3.087619,2022-01-27T04:40:51Z,SNE-1,oveja,medición continua
AV597,37.154533,-3.087388,2022-01-27T04:46:09Z,SNE-1,oveja,medición continua
AV597,37.154338,-3.087335,2022-01-27T04:51:25Z,SNE-1,oveja,medición continua
AV597,37.154811,-3.087577,2022-01-27T04:57:06Z,SNE-1,oveja,medición continua
AV597,37.155055,-3.087832,2022-01-27T05:02:33Z,SNE-1,oveja,medición continua
AV597,37.154869,-3.087735,2022-01-27T05:07:54Z,SNE-1,oveja,medición continua
AV597,37.15435,-3.087343,2022-01-27T05:13:12Z,SNE-1,oveja,medición continua
AV597,37.154579,-3.087462,2022-01-27T05:18:33Z,SNE-1,oveja,medición continua
AV597,37.154644,-3.08748,2022-01-27T05:23:52Z,SNE-1,oveja,medición continua
AV597,37.154727,-3.087456,2022-01-27T05:29:13Z,SNE-1,oveja,medición continua
AV597,37.154563,-3.087431,2022-01-27T05:34:46Z,SNE-1,oveja,medición continua
AV597,37.154582,-3.087417,2022-01-27T05:40:46Z,SNE-1,oveja,medición continua
AV597,37.154514,-3.087484,2022-01-27T05:46:47Z,SNE-1,oveja,medición continua
AV597,37.154579,-3.087397,2022-01-27T05:52:08Z,SNE-1,oveja,medición continua
AV597,37.154502,-3.087424,2022-01-27T05:57:21Z,SNE-1,oveja,medición continua
AV597,37.154647,-3.087346,2022-01-27T06:02:55Z,SNE-1,oveja,medición continua
AV597,37.15456,-3.087473,2022-01-27T06:08:42Z,SNE-1,oveja,medición continua
AV597,37.154602,-3.087484,2022-01-27T06:14:32Z,SNE-1,oveja,medición continua
AV597,37.154571,-3.087488,2022-01-27T06:20:22Z,SNE-1,oveja,medición continua
AV597,37.154521,-3.087495,2022-01-27T06:26:04Z,SNE-1,oveja,medición continua
AV597,37.154518,-3.087524,2022-01-27T06:31:24Z,SNE-1,oveja,medición continua
AV597,37.154495,-3.087587,2022-01-27T06:37:08Z,SNE-1,oveja,medición continua
AV597,37.154563,-3.087537,2022-01-27T06:42:21Z,SNE-1,oveja,medición continua
AV597,37.154548,-3.087585,2022-01-27T06:47:39Z,SNE-1,oveja,medición continua
AV597,37.154651,-3.087529,2022-01-27T06:52:50Z,SNE-1,oveja,medición continua
AV597,37.154567,-3.087498,2022-01-27T06:58:04Z,SNE-1,oveja,medición continua
AV597,37.154594,-3.087477,2022-01-27T07:03:17Z,SNE-1,oveja,medición continua
