"id","year","month","day","hour","minute","second","lat","long","id_gps"
"140758",22,10,18,9,38,7,37.008216,-3.011098,"AV604"
"206411",22,10,18,9,44,4,37.008224,-3.011094,"AV604"
"272076",22,10,18,9,50,1,37.008205,-3.011119,"AV604"
"337737",22,10,18,9,55,58,37.01194,-3.005272,"AV604"
"403406",22,10,18,10,1,55,37.008193,-3.011147,"AV604"
"469067",22,10,18,10,7,52,37.008583,-3.011342,"AV604"
"528790",22,10,18,10,13,43,37.008689,-3.011464,"AV604"
"569424",22,10,18,10,19,15,37.008754,-3.011373,"AV604"
"594564",22,10,18,10,24,32,37.008743,-3.011353,"AV604"
"611733",22,10,18,10,29,41,37.008674,-3.011381,"AV604"
"619695",22,10,18,10,34,39,37.008979,-3.011483,"AV604"
"650243",22,10,18,10,40,2,37.008716,-3.011337,"AV604"
"667037",22,10,18,10,45,10,37.008716,-3.011396,"AV604"
"705538",22,10,18,10,50,40,37.008708,-3.011382,"AV604"
"727438",22,10,18,10,55,53,37.008701,-3.011375,"AV604"
"741285",22,10,18,11,0,58,37.008705,-3.011319,"AV604"
"756891",22,10,18,11,6,5,37.008762,-3.011321,"AV604"
"765324",22,10,18,11,11,5,37.00872,-3.011301,"AV604"
"792278",22,10,18,11,16,23,37.008766,-3.011338,"AV604"
"840252",22,10,18,11,22,2,37.008766,-3.011354,"AV604"
"883809",22,10,18,11,27,37,37.008728,-3.011335,"AV604"
"927808",22,10,18,11,33,13,37.008789,-3.011432,"AV604"
"966354",22,10,18,11,38,43,37.008762,-3.011392,"AV604"
"994385",22,10,18,11,44,2,37.008781,-3.011428,"AV604"
"1006886",22,10,18,11,49,6,37.008563,-3.011306,"AV604"
"1025717",22,10,18,11,54,17,37.015724,-3.008066,"AV604"
"1038234",22,10,18,11,59,20,37.028614,-3.008592,"AV604"
"1054724",22,10,18,12,4,29,37.046577,-3.016642,"AV604"
"1113915",22,10,18,12,10,20,37.045845,-3.019532,"AV604"
"1179941",22,10,18,12,16,18,37.04948,-3.023028,"AV604"
"1239007",22,10,18,12,22,9,37.04943,-3.022848,"AV604"
"1281039",22,10,18,12,27,43,37.049526,-3.022913,"AV604"
"1308622",22,10,18,12,33,2,37.049522,-3.022975,"AV604"
"1326381",22,10,18,12,38,11,37.051647,-3.028627,"AV604"
"1363899",22,10,18,12,43,40,37.067329,-3.041238,"AV604"
"1383804",22,10,18,12,48,51,37.071941,-3.046013,"AV604"
"1424506",22,10,18,12,54,23,37.072101,-3.046128,"AV604"
"1459670",22,10,18,12,59,50,37.071987,-3.046101,"AV604"
"1468681",22,10,18,13,4,50,37.071964,-3.046065,"AV604"
"1478218",22,10,18,13,9,51,37.07199,-3.046037,"AV604"
"1485255",22,10,18,13,14,50,37.071983,-3.046134,"AV604"
"1493822",22,10,18,13,19,50,37.07183,-3.046099,"AV604"
"1501854",22,10,18,13,24,50,37.072052,-3.04626,"AV604"
"1509424",22,10,18,13,29,48,37.072071,-3.046162,"AV604"
"1516994",22,10,18,13,34,48,37.071941,-3.04597,"AV604"
"1525569",22,10,18,13,39,48,37.072273,-3.046412,"AV604"
"1534124",22,10,18,13,44,49,37.07196,-3.046106,"AV604"
"1552107",22,10,18,13,49,59,37.07204,-3.046134,"AV604"
"1560659",22,10,18,13,54,58,37.072093,-3.046226,"AV604"
"1570248",22,10,18,14,0,0,37.072235,-3.046382,"AV604"
"1579820",22,10,18,14,5,1,37.07175,-3.045931,"AV604"
"1618415",22,10,18,14,10,32,37.071872,-3.04618,"AV604"
"1626451",22,10,18,14,15,31,37.071907,-3.04605,"AV604"
"1635035",22,10,18,14,20,31,37.071941,-3.046101,"AV604"
"1643606",22,10,18,14,25,31,37.071922,-3.046067,"AV604"
"1652166",22,10,18,14,30,31,37.071964,-3.046071,"AV604"
"1660753",22,10,18,14,35,32,37.07196,-3.046043,"AV604"
"1669811",22,10,18,14,40,33,37.071868,-3.046144,"AV604"
"1677866",22,10,18,14,45,32,37.071998,-3.046101,"AV604"
"1686447",22,10,18,14,50,32,37.071918,-3.046086,"AV604"
