"id","year","month","day","hour","minute","second","lat","long","id_gps"
"62159",22,10,24,7,25,5,36.644069,-5.063315,"AV595"
"91902",22,10,24,7,30,32,36.644065,-5.063387,"AV595"
"100887",22,10,24,7,35,37,36.644058,-5.063367,"AV595"
"109845",22,10,24,7,40,43,36.64402,-5.063481,"AV595"
"165877",22,10,24,7,46,37,36.644546,-5.061151,"AV595"
"173827",22,10,24,7,51,41,36.641143,-5.060616,"AV595"
"215379",22,10,24,7,57,20,36.641227,-5.060428,"AV595"
"262253",22,10,24,8,3,4,36.641086,-5.060592,"AV595"
"293567",22,10,24,8,8,32,36.639366,-5.056527,"AV595"
"305161",22,10,24,8,13,39,36.639198,-5.056381,"AV595"
"314176",22,10,24,8,18,44,36.639312,-5.056449,"AV595"
"343794",22,10,24,8,24,11,36.639335,-5.056364,"AV595"
"363590",22,10,24,8,29,28,36.639392,-5.056345,"AV595"
"417315",22,10,24,8,35,19,36.639247,-5.056392,"AV595"
"483263",22,10,24,8,41,22,36.637958,-5.056657,"AV595"
"512742",22,10,24,8,46,48,36.636047,-5.057181,"AV595"
"546311",22,10,24,8,52,19,36.635581,-5.057304,"AV595"
"564114",22,10,24,8,57,34,36.63512,-5.057382,"AV595"
"571138",22,10,24,9,2,38,36.634872,-5.057465,"AV595"
"578181",22,10,24,9,7,42,36.634685,-5.057386,"AV595"
"588203",22,10,24,9,12,49,36.634376,-5.057196,"AV595"
"595236",22,10,24,9,17,53,36.634281,-5.057444,"AV595"
"602268",22,10,24,9,22,57,36.634315,-5.05753,"AV595"
"617815",22,10,24,9,28,10,36.634193,-5.057389,"AV595"
"657276",22,10,24,9,33,46,36.634212,-5.057476,"AV595"
"697843",22,10,24,9,39,24,36.634052,-5.057286,"AV595"
"739517",22,10,24,9,45,3,36.634128,-5.057329,"AV595"
"805231",22,10,24,9,51,6,36.633853,-5.057361,"AV595"
"833404",22,10,24,9,56,31,36.633754,-5.057229,"AV595"
"841649",22,10,24,10,1,36,36.633739,-5.057206,"AV595"
"851801",22,10,24,10,6,43,36.63372,-5.057169,"AV595"
"862913",22,10,24,10,11,51,36.63375,-5.056992,"AV595"
"905812",22,10,24,10,17,31,36.633583,-5.057151,"AV595"
"938865",22,10,24,10,23,1,36.633331,-5.057025,"AV595"
