"id","year","month","day","hour","minute","second","lat","long","id_gps"
"291723",22,10,24,9,17,35,36.797149,-4.997029,"AV571"
"346804",22,10,24,9,23,32,36.797153,-4.997111,"AV571"
"356199",22,10,24,9,28,43,36.797119,-4.99714,"AV571"
"374203",22,10,24,9,34,4,36.797126,-4.997002,"AV571"
"384639",22,10,24,9,39,16,36.796894,-4.99669,"AV571"
"399700",22,10,24,9,44,34,36.795848,-4.993477,"AV571"
"409152",22,10,24,9,49,45,36.794353,-5.003286,"AV571"
"418606",22,10,24,9,54,57,36.794292,-5.006766,"AV571"
"427064",22,10,24,10,0,7,36.794059,-5.013522,"AV571"
"436520",22,10,24,10,5,18,36.793933,-5.013469,"AV571"
"487433",22,10,24,10,11,12,36.790203,-5.02082,"AV571"
"502771",22,10,24,10,16,29,36.789649,-5.021756,"AV571"
"513224",22,10,24,10,21,41,36.789329,-5.022945,"AV571"
"527803",22,10,24,10,26,58,36.789325,-5.023065,"AV571"
"536238",22,10,24,10,32,8,36.789287,-5.022972,"AV571"
"587997",22,10,24,10,38,2,36.793598,-5.016078,"AV571"
"605219",22,10,24,10,43,21,36.794097,-5.013442,"AV571"
"627052",22,10,24,10,48,45,36.793338,-5.011098,"AV571"
"644503",22,10,24,10,54,4,36.793292,-5.009465,"AV571"
"653999",22,10,24,10,59,15,36.794166,-5.007002,"AV571"
"675826",22,10,24,11,4,39,36.79409,-5.000753,"AV571"
"699229",22,10,24,11,10,4,36.790481,-4.98315,"AV571"
"717282",22,10,24,11,15,24,36.790504,-4.950397,"AV571"
"736955",22,10,24,11,20,46,36.793525,-4.95334,"AV571"
"803017",22,10,24,11,26,54,36.788276,-4.945271,"AV571"
"857346",22,10,24,11,32,50,36.787902,-4.946071,"AV571"
"918984",22,10,24,11,38,54,36.788028,-4.946102,"AV571"
"959993",22,10,24,11,44,37,36.788299,-4.945897,"AV571"
"1020278",22,10,24,11,50,40,36.788074,-4.946008,"AV571"
"1058075",22,10,24,11,56,20,36.788047,-4.945991,"AV571"
"1100432",22,10,24,12,2,4,36.788063,-4.945981,"AV571"
"1126405",22,10,24,12,7,32,36.788116,-4.945939,"AV571"
"1155070",22,10,24,12,13,3,36.788078,-4.945997,"AV571"
"1201291",22,10,24,12,18,51,36.788169,-4.946019,"AV571"
"1210787",22,10,24,12,24,2,36.788116,-4.946054,"AV571"
"1220286",22,10,24,12,29,13,36.787956,-4.945953,"AV571"
