id_collar,lat,lng,time_stamp
AV343,37.02511635,-2.992156863,2022-06-30T22:10:36Z
AV343,37.025177386,-2.992019532,2022-06-30T22:40:41Z
AV343,37.025101091,-2.992248417,2022-06-30T23:10:28Z
AV343,37.025070573,-2.99235523,2022-06-30T23:40:35Z
AV343,37.025131609,-2.992370489,2022-07-01T00:10:17Z
AV343,37.024856947,-2.992263676,2022-07-01T00:40:32Z
AV343,37.024917983,-2.992141604,2022-07-01T01:10:12Z
AV343,37.024841688,-2.992294194,2022-07-01T01:40:15Z
AV343,37.024872206,-2.99205005,2022-07-01T02:10:28Z
AV343,37.024887465,-2.992339971,2022-07-01T02:40:56Z
AV343,37.025009537,-2.992294194,2022-07-01T03:10:21Z
AV343,37.025345235,-2.99142443,2022-07-01T03:40:52Z
AV343,37.024795911,-2.992477302,2022-07-01T04:10:18Z
AV343,37.025207904,-2.992339971,2022-07-01T04:39:58Z
AV343,37.025452049,-2.992126345,2022-07-01T05:09:57Z
AV343,37.025146868,-2.992065309,2022-07-01T05:40:42Z
AV343,37.025253681,-2.992370489,2022-07-01T06:10:39Z
AV343,37.02511635,-2.992324712,2022-07-01T06:40:37Z
AV343,37.025223163,-2.99235523,2022-07-01T07:10:31Z
AV343,37.025024796,-2.992324712,2022-07-01T07:39:50Z
AV343,37.025192645,-2.992523079,2022-07-01T08:10:23Z
AV343,37.024856947,-2.992797742,2022-07-01T08:39:46Z
AV343,37.025223163,-2.992187381,2022-07-01T09:09:44Z
AV343,37.025238422,-2.99220264,2022-07-01T09:39:57Z
AV344,37.09282063,-3.005279622,2022-07-01T09:50:33Z
AV343,37.025238422,-2.992065309,2022-07-01T10:09:29Z
AV344,37.092790112,-3.004180972,2022-07-01T10:19:49Z
AV343,37.025238422,-2.992370489,2022-07-01T10:39:30Z
AV343,37.025314717,-2.99220264,2022-07-01T11:09:51Z
AV343,37.025284199,-2.992263676,2022-07-01T11:39:26Z
AV344,37.095078965,-3.000350958,2022-07-01T11:50:07Z
AV343,37.024673838,-2.991836423,2022-07-01T12:10:08Z
AV343,37.025024796,-2.992416266,2022-07-01T12:39:14Z
AV343,37.025375753,-2.991744869,2022-07-01T13:09:26Z
AV344,37.094483864,-2.999099718,2022-07-01T13:20:36Z
AV343,37.02558938,-2.991805905,2022-07-01T13:39:23Z
AV343,37.025467308,-2.991958495,2022-07-01T14:09:26Z
AV343,37.025238422,-2.992233158,2022-07-01T14:39:40Z
AV344,37.085755703,-2.999664302,2022-07-01T14:50:53Z
AV343,37.025207904,-2.992324712,2022-07-01T15:09:48Z
AV344,37.083878843,-3.000198367,2022-07-01T15:21:03Z
AV343,1.00390631,0,2022-07-01T15:39:54Z
AV344,37.082780194,-3.005600061,2022-07-01T15:51:24Z
AV343,1.00390631,0,2022-07-01T16:09:52Z
AV343,37.025207904,-2.992065309,2022-07-01T16:39:22Z
AV343,37.025329976,-2.991958495,2022-07-01T17:09:37Z
AV343,37.025238422,-2.992233158,2022-07-01T17:39:02Z
AV343,37.025101091,-2.992263676,2022-07-01T18:08:44Z
AV343,37.025253681,-2.992553597,2022-07-01T18:38:34Z
AV343,37.025314717,-2.992614633,2022-07-01T19:08:40Z
AV343,37.025329976,-2.992324712,2022-07-01T19:38:35Z
AV343,37.025009537,-2.992370489,2022-07-01T20:09:01Z
AV343,37.025345235,-2.991958495,2022-07-01T20:39:06Z
AV343,37.025360494,-2.992111086,2022-07-01T21:08:41Z
AV343,37.024933242,-2.99157702,2022-07-01T21:38:30Z
AV343,37.025024796,-2.992309453,2022-07-01T22:08:26Z
AV343,37.025085832,-2.99220264,2022-07-01T22:38:34Z
AV343,37.025162127,-2.992126345,2022-07-01T23:08:21Z
AV343,37.02542153,-2.991653315,2022-07-01T23:39:04Z
AV343,37.025162127,-2.992080568,2022-07-02T00:08:19Z
AV343,37.024948501,-2.992217899,2022-07-02T00:38:14Z
AV343,37.024505989,-2.99298085,2022-07-02T01:08:12Z
AV343,37.025024796,-2.991821164,2022-07-02T01:38:11Z
AV343,37.025192645,-2.992492561,2022-07-02T02:08:50Z
AV343,37.024933242,-2.992080568,2022-07-02T02:38:06Z
AV343,37.025345235,-2.991638056,2022-07-02T03:08:46Z
AV343,37.02511635,-2.992675669,2022-07-02T03:38:11Z
AV343,37.025070573,-2.992370489,2022-07-02T04:08:41Z
AV343,37.024704356,-2.991760128,2022-07-02T04:38:37Z
AV343,37.024994278,-2.991897459,2022-07-02T05:08:05Z
AV343,37.024902724,-2.992141604,2022-07-02T05:38:32Z
AV343,37.025085832,-2.99235523,2022-07-02T06:08:31Z
AV343,37.025162127,-2.992370489,2022-07-02T06:38:27Z
AV343,37.025040055,-2.992385748,2022-07-02T07:07:57Z
AV343,37.025085832,-2.992462043,2022-07-02T07:37:47Z
AV343,37.024734874,-2.992736706,2022-07-02T08:07:42Z
AV343,37.024979019,-2.992339971,2022-07-02T08:38:04Z
AV343,37.025223163,-2.992187381,2022-07-02T09:08:14Z
AV343,37.024933242,-2.992370489,2022-07-02T09:38:06Z
AV343,37.025299458,-2.992141604,2022-07-02T10:08:10Z
AV343,37.025009537,-2.992248417,2022-07-02T10:37:45Z
AV343,37.02526894,-2.99220264,2022-07-02T11:08:03Z
AV344,37.108415351,-3.01528954,2022-07-02T11:26:22Z
AV343,37.02496376,-2.992324712,2022-07-02T11:37:24Z
AV344,37.108766308,-3.014206149,2022-07-02T11:56:27Z
AV343,37.024979019,-2.992095827,2022-07-02T12:07:32Z
AV343,37.024902724,-2.992126345,2022-07-02T12:37:10Z
AV343,37.02526894,-2.992248417,2022-07-02T13:07:16Z
AV343,37.025299458,-2.992080568,2022-07-02T13:37:49Z
AV343,37.025177386,-2.992294194,2022-07-02T14:07:04Z
AV343,37.02496376,-2.992523079,2022-07-02T14:37:44Z
AV343,37.025085832,-2.992309453,2022-07-02T15:06:56Z
AV343,37.025299458,-2.992126345,2022-07-02T15:36:59Z
AV343,37.02511635,-2.99220264,2022-07-02T16:06:43Z
AV343,37.025177386,-2.992324712,2022-07-02T16:36:47Z
AV343,37.024948501,-2.99220264,2022-07-02T17:06:50Z
AV343,37.024979019,-2.992065309,2022-07-02T17:37:10Z
AV343,37.025406271,-2.992095827,2022-07-02T18:06:33Z
AV343,37.025207904,-2.992172122,2022-07-02T18:36:32Z
