id_gps,lat,long,date,date_time,year_month
AM717,36.943946,-3.497601,2023-05-01,2023-05-01T00:09:44Z,2023_05
AM717,36.943897,-3.4976,2023-05-01,2023-05-01T00:24:43Z,2023_05
AM717,36.943992,-3.497535,2023-05-01,2023-05-01T00:39:47Z,2023_05
AM717,36.943729,-3.497642,2023-05-01,2023-05-01T00:54:48Z,2023_05
AM717,36.943756,-3.49757,2023-05-01,2023-05-01T01:09:45Z,2023_05
AM717,36.943901,-3.497361,2023-05-01,2023-05-01T01:24:53Z,2023_05
AM717,36.943931,-3.497477,2023-05-01,2023-05-01T01:40:33Z,2023_05
AM717,36.943988,-3.498011,2023-05-01,2023-05-01T01:54:55Z,2023_05
AM717,36.943927,-3.497498,2023-05-01,2023-05-01T02:09:46Z,2023_05
AM717,36.943916,-3.497414,2023-05-01,2023-05-01T02:24:50Z,2023_05
AM717,36.943958,-3.49765,2023-05-01,2023-05-01T02:39:51Z,2023_05
AM717,36.943916,-3.497601,2023-05-01,2023-05-01T02:54:49Z,2023_05
AM717,36.944156,-3.497623,2023-05-01,2023-05-01T03:09:48Z,2023_05
AM717,36.944129,-3.497407,2023-05-01,2023-05-01T03:24:47Z,2023_05
AM717,36.944221,-3.497171,2023-05-01,2023-05-01T03:39:48Z,2023_05
AM717,36.944221,-3.497315,2023-05-01,2023-05-01T03:54:48Z,2023_05
AM717,36.944175,-3.497289,2023-05-01,2023-05-01T04:09:50Z,2023_05
AM717,36.944267,-3.49733,2023-05-01,2023-05-01T04:24:49Z,2023_05
AM717,36.944244,-3.49738,2023-05-01,2023-05-01T04:39:51Z,2023_05
AM717,36.944145,-3.497431,2023-05-01,2023-05-01T04:54:51Z,2023_05
AM717,36.944538,-3.497285,2023-05-01,2023-05-01T05:09:55Z,2023_05
AM717,36.944526,-3.49724,2023-05-01,2023-05-01T05:25:00Z,2023_05
AM717,36.94445,-3.497511,2023-05-01,2023-05-01T05:39:53Z,2023_05
AM717,36.94408,-3.497251,2023-05-01,2023-05-01T05:55:02Z,2023_05
AM717,36.9449,-3.497468,2023-05-01,2023-05-01T06:09:54Z,2023_05
AM717,36.94416,-3.49762,2023-05-01,2023-05-01T06:24:55Z,2023_05
AM717,36.944236,-3.497353,2023-05-01,2023-05-01T06:39:56Z,2023_05
AM717,36.944488,-3.497066,2023-05-01,2023-05-01T06:54:58Z,2023_05
AM717,36.943962,-3.497382,2023-05-01,2023-05-01T07:10:07Z,2023_05
AM717,36.944049,-3.49733,2023-05-01,2023-05-01T07:25:18Z,2023_05
AM717,36.944141,-3.497379,2023-05-01,2023-05-01T07:40:01Z,2023_05
AM717,36.943737,-3.497571,2023-05-01,2023-05-01T07:55:01Z,2023_05
AM717,36.943965,-3.497522,2023-05-01,2023-05-01T08:09:59Z,2023_05
AM717,36.943992,-3.497573,2023-05-01,2023-05-01T08:24:58Z,2023_05
