familiar_name,latitude,longitude,track_time
GPS_1,37.16536,-3.59128,2023-04-27 15:35:54
GPS_10,36.99142,-3.34192,2023-04-01 00:46:52
GPS_10,36.99114,-3.34186,2023-04-01 04:31:47
GPS_10,36.99397,-3.34589,2023-04-01 07:14:23
GPS_10,36.99331,-3.34485,2023-04-01 07:24:31
GPS_10,36.99131,-3.34177,2023-04-01 07:34:23
GPS_10,36.99112,-3.34171,2023-04-01 07:44:15
GPS_10,36.99112,-3.34171,2023-04-01 07:54:15
GPS_10,36.99096,-3.3417,2023-04-01 08:53:38
GPS_10,36.99096,-3.34161,2023-04-01 09:03:38
GPS_10,36.99092,-3.34161,2023-04-01 09:13:38
GPS_10,36.99129,-3.34122,2023-04-01 10:13:30
GPS_10,36.99146,-3.34113,2023-04-01 10:23:30
GPS_10,36.99135,-3.34158,2023-04-01 10:33:38
GPS_10,36.99144,-3.34149,2023-04-01 10:43:38
GPS_10,36.99121,-3.34192,2023-04-01 11:53:15
GPS_10,36.99108,-3.34201,2023-04-01 12:03:15
GPS_10,36.99065,-3.34235,2023-04-01 12:13:15
GPS_10,36.99071,-3.34256,2023-04-01 12:23:35
GPS_10,36.99089,-3.34296,2023-04-01 12:33:09
GPS_10,36.98995,-3.34305,2023-04-01 12:43:09
GPS_10,36.98995,-3.34305,2023-04-01 12:53:09
GPS_10,36.9896,-3.34343,2023-04-01 13:04:55
GPS_10,36.98969,-3.34429,2023-04-01 13:14:55
GPS_10,36.98776,-3.34695,2023-04-01 13:24:55
GPS_10,36.98599,-3.34827,2023-04-01 13:33:11
GPS_10,36.98436,-3.34985,2023-04-01 13:53:04
GPS_10,36.98368,-3.34966,2023-04-01 14:03:14
GPS_10,36.98394,-3.34949,2023-04-01 14:13:14
GPS_10,36.98323,-3.35037,2023-04-01 14:23:00
GPS_10,36.98335,-3.34927,2023-04-01 14:34:48
GPS_10,36.98381,-3.34967,2023-04-01 15:03:08
GPS_10,36.98414,-3.34978,2023-04-01 15:32:49
GPS_10,36.98457,-3.34978,2023-04-01 15:42:49
GPS_10,36.98517,-3.34961,2023-04-01 15:52:49
GPS_10,36.98519,-3.34867,2023-04-01 16:02:49
GPS_10,36.98493,-3.34764,2023-04-01 16:12:49
GPS_10,36.9845,-3.34738,2023-04-01 16:22:49
GPS_10,36.98355,-3.34732,2023-04-01 16:32:41
GPS_10,36.98241,-3.34644,2023-04-01 16:44:18
GPS_10,36.9846,-3.34726,2023-04-01 17:02:36
GPS_10,36.98559,-3.34775,2023-04-01 17:12:19
GPS_10,36.98542,-3.34775,2023-04-01 17:22:19
GPS_10,36.98604,-3.34848,2023-04-01 17:32:22
GPS_10,36.98673,-3.34882,2023-04-01 17:42:22
GPS_10,36.98663,-3.34882,2023-04-01 17:54:48
GPS_10,36.98627,-3.34886,2023-04-01 18:12:15
GPS_10,36.98597,-3.34835,2023-04-01 18:22:15
GPS_10,36.98674,-3.34818,2023-04-01 18:32:15
GPS_10,36.98758,-3.3479,2023-04-01 18:42:12
GPS_10,36.9884,-3.3468,2023-04-01 18:53:00
GPS_10,36.98857,-3.34637,2023-04-01 19:03:00
GPS_10,36.98835,-3.34573,2023-04-01 19:12:00
GPS_10,36.98851,-3.34521,2023-04-01 19:22:07
GPS_10,36.98854,-3.3446,2023-04-01 19:31:53
GPS_10,36.98789,-3.34417,2023-04-01 19:41:49
GPS_10,36.98776,-3.34357,2023-04-01 19:51:49
GPS_10,36.99143,-3.34157,2023-04-01 22:11:29
GPS_10,36.99143,-3.34157,2023-04-01 22:21:29
GPS_10,36.99117,-3.34174,2023-04-01 22:31:29
GPS_10,36.99107,-3.3418,2023-04-02 05:06:58
GPS_10,36.99101,-3.34183,2023-04-02 05:16:46
GPS_10,36.99131,-3.34177,2023-04-02 05:36:40
GPS_10,36.99135,-3.34177,2023-04-02 05:46:40
GPS_10,36.99216,-3.34152,2023-04-02 07:47:21
GPS_10,36.99079,-3.34161,2023-04-02 07:57:21
GPS_10,36.99092,-3.34161,2023-04-02 08:07:21
GPS_10,36.99107,-3.34161,2023-04-02 09:43:13
GPS_10,36.99114,-3.34125,2023-04-02 10:07:21
GPS_10,36.9911,-3.34151,2023-04-02 10:17:21
GPS_10,36.99123,-3.34134,2023-04-02 10:27:21
GPS_10,36.99091,-3.34164,2023-04-02 10:37:27
GPS_10,36.991,-3.34164,2023-04-02 10:47:27
GPS_10,36.99113,-3.34167,2023-04-02 10:57:19
GPS_10,36.99144,-3.34149,2023-04-02 11:08:17
GPS_10,36.99135,-3.34169,2023-04-02 11:17:17
GPS_10,36.99092,-3.3422,2023-04-02 11:27:17
GPS_10,36.99096,-3.34186,2023-04-02 11:37:17
GPS_10,36.9901,-3.34219,2023-04-02 11:47:10
GPS_10,36.98864,-3.34262,2023-04-02 11:57:10
GPS_10,36.98796,-3.3429,2023-04-02 12:08:04
GPS_10,36.98921,-3.34233,2023-04-02 12:26:41
GPS_10,36.99067,-3.34216,2023-04-02 12:36:41
GPS_10,36.99041,-3.34216,2023-04-02 12:46:41
GPS_10,36.99013,-3.34314,2023-04-02 12:56:45
GPS_10,36.99047,-3.34415,2023-04-02 13:07:27
GPS_10,36.99092,-3.34415,2023-04-02 13:26:48
GPS_10,36.99023,-3.34381,2023-04-02 13:36:48
GPS_10,36.99105,-3.34415,2023-04-02 13:46:48
GPS_10,36.99002,-3.34397,2023-04-02 13:57:34
GPS_10,36.98865,-3.34363,2023-04-02 14:07:34
GPS_10,36.98866,-3.34338,2023-04-02 14:26:16
GPS_10,36.98966,-3.34293,2023-04-02 14:56:15
GPS_10,36.99068,-3.34272,2023-04-02 15:16:25
GPS_10,36.99077,-3.34272,2023-04-02 15:26:25
GPS_10,36.99094,-3.34323,2023-04-02 15:36:25
GPS_10,36.99094,-3.34326,2023-04-02 15:46:16
GPS_10,36.99086,-3.3435,2023-04-02 15:57:35
GPS_10,36.99022,-3.34427,2023-04-02 16:07:35
GPS_10,36.98993,-3.34389,2023-04-02 16:16:21
GPS_10,36.98903,-3.34372,2023-04-02 16:26:21
GPS_10,36.98922,-3.34339,2023-04-02 16:36:19
GPS_10,36.98956,-3.34305,2023-04-02 16:46:19
GPS_10,36.98935,-3.3428,2023-04-02 16:57:00
GPS_10,36.98896,-3.3428,2023-04-02 17:07:00
GPS_10,36.98903,-3.34335,2023-04-02 17:36:11
GPS_10,36.99077,-3.34216,2023-04-02 17:56:15
GPS_10,36.99085,-3.34206,2023-04-02 18:16:01
GPS_10,36.99098,-3.34189,2023-04-02 18:26:01
GPS_10,36.99111,-3.34198,2023-04-02 18:36:01
GPS_10,36.99103,-3.34195,2023-04-02 18:46:00
GPS_10,36.99102,-3.34177,2023-04-02 18:55:57
GPS_10,36.99098,-3.34177,2023-04-02 19:05:57
GPS_10,36.99098,-3.34177,2023-04-02 19:15:57
GPS_10,36.99119,-3.34167,2023-04-03 07:04:36
GPS_10,36.96214,-3.35852,2023-04-13 08:08:30
GPS_10,36.95532,-3.35238,2023-04-13 08:32:28
GPS_10,36.95197,-3.33444,2023-04-13 08:42:28
GPS_10,36.95423,-3.3309,2023-04-13 08:52:28
GPS_10,36.95437,-3.33081,2023-04-13 09:04:49
GPS_10,36.95437,-3.33072,2023-04-13 09:24:49
GPS_10,36.95444,-3.33105,2023-04-13 09:32:32
GPS_10,36.95439,-3.33087,2023-04-13 10:42:24
GPS_10,36.95442,-3.33084,2023-04-13 11:02:06
GPS_10,36.95446,-3.33084,2023-04-13 11:12:06
GPS_10,36.95446,-3.33084,2023-04-13 11:22:06
GPS_10,36.95446,-3.33084,2023-04-13 12:45:19
GPS_10,36.95437,-3.33076,2023-04-13 13:02:05
GPS_10,36.95497,-3.33059,2023-04-13 13:12:05
GPS_10,36.95437,-3.33093,2023-04-13 13:22:05
GPS_10,36.95435,-3.33075,2023-04-13 14:32:28
GPS_10,36.95447,-3.33066,2023-04-13 15:51:31
GPS_10,36.95445,-3.33075,2023-04-13 16:01:41
GPS_10,36.95449,-3.33066,2023-04-13 16:11:41
GPS_10,36.95447,-3.33105,2023-04-13 17:01:35
GPS_10,36.95451,-3.33105,2023-04-13 17:11:35
GPS_10,36.95451,-3.33105,2023-04-13 17:21:35
GPS_10,36.95451,-3.33078,2023-04-13 18:31:36
GPS_10,36.95432,-3.33069,2023-04-14 08:26:11
GPS_10,36.95421,-3.33063,2023-04-14 08:34:53
GPS_10,36.9545,-3.3306,2023-04-14 08:54:59
GPS_10,37.00483,-3.37024,2023-04-14 09:15:03
GPS_10,36.95824,-3.33349,2023-04-14 09:37:06
GPS_10,36.95451,-3.33066,2023-04-14 09:57:06
GPS_10,36.99017,-3.34045,2023-04-14 10:05:26
GPS_10,36.95452,-3.33069,2023-04-14 10:14:35
GPS_10,36.9544,-3.33078,2023-04-14 10:35:02
GPS_10,36.9544,-3.33078,2023-04-14 10:45:02
GPS_10,36.95436,-3.33078,2023-04-14 10:55:02
GPS_10,36.95447,-3.33069,2023-04-14 11:06:25
GPS_10,36.9545,-3.33084,2023-04-14 11:14:29
GPS_10,36.9545,-3.33084,2023-04-14 11:24:29
GPS_10,36.95468,-3.33099,2023-04-14 11:34:26
GPS_10,36.95459,-3.33099,2023-04-14 11:44:26
GPS_10,36.95458,-3.33107,2023-04-14 12:44:21
GPS_10,36.95458,-3.3309,2023-04-14 12:54:21
GPS_10,36.95454,-3.3309,2023-04-14 13:04:21
GPS_10,36.95436,-3.33072,2023-04-14 13:54:02
GPS_10,36.9544,-3.33072,2023-04-14 14:04:02
GPS_10,36.95444,-3.33072,2023-04-14 14:14:02
GPS_10,36.95423,-3.33041,2023-04-14 14:23:59
GPS_10,36.95457,-3.33078,2023-04-14 17:07:15
GPS_10,36.9549,-3.33115,2023-04-14 23:09:09
GPS_10,36.95462,-3.33112,2023-04-15 03:50:38
GPS_10,36.95489,-3.33118,2023-04-15 09:47:31
GPS_10,36.95466,-3.33099,2023-04-15 10:33:50
GPS_10,36.95481,-3.33124,2023-04-15 11:53:18
GPS_10,36.95481,-3.33124,2023-04-15 12:03:18
GPS_10,36.95481,-3.33124,2023-04-15 12:13:18
GPS_10,36.95461,-3.3306,2023-04-15 13:43:26
GPS_10,36.95463,-3.33076,2023-04-15 15:43:18
GPS_10,36.95459,-3.33102,2023-04-15 15:53:18
GPS_10,36.95453,-3.33078,2023-04-15 16:33:16
GPS_10,36.95435,-3.33087,2023-04-15 19:07:06
GPS_10,36.95428,-3.33102,2023-04-15 19:15:47
GPS_10,36.95495,-3.33112,2023-04-15 20:25:42
GPS_10,36.95452,-3.33066,2023-04-16 09:02:25
GPS_10,36.95433,-3.33069,2023-04-16 10:56:08
GPS_10,36.95496,-3.33147,2023-04-16 11:52:22
GPS_10,36.95453,-3.33087,2023-04-16 12:02:22
GPS_10,36.9544,-3.33078,2023-04-16 12:12:22
GPS_10,36.95449,-3.33109,2023-04-16 12:22:21
GPS_10,36.9545,-3.33098,2023-04-16 12:32:10
GPS_10,36.9545,-3.33081,2023-04-16 12:42:10
GPS_10,36.95436,-3.3309,2023-04-16 15:31:15
GPS_10,36.95439,-3.33102,2023-04-16 19:09:47
GPS_10,36.95436,-3.33093,2023-04-16 19:18:29
GPS_10,36.95435,-3.33081,2023-04-16 19:28:39
GPS_10,36.95439,-3.33081,2023-04-16 19:38:39
GPS_10,36.95444,-3.33057,2023-04-17 08:24:21
GPS_10,36.9545,-3.33069,2023-04-17 08:34:10
GPS_10,36.95446,-3.33003,2023-04-17 08:44:33
GPS_10,36.95446,-3.32977,2023-04-17 08:54:33
GPS_10,36.95439,-3.32975,2023-04-17 09:05:18
GPS_10,36.95478,-3.33087,2023-04-17 09:15:18
GPS_10,36.95457,-3.33087,2023-04-17 09:25:18
GPS_10,36.95461,-3.3309,2023-04-17 09:34:16
GPS_10,36.95487,-3.33081,2023-04-17 10:24:21
GPS_10,36.95466,-3.33081,2023-04-17 10:34:21
GPS_10,36.95462,-3.33081,2023-04-17 10:44:21
GPS_10,36.95484,-3.33109,2023-04-17 12:14:06
GPS_10,36.95481,-3.33098,2023-04-17 12:24:07
GPS_10,36.95472,-3.33081,2023-04-17 12:34:07
GPS_10,36.95454,-3.33072,2023-04-17 13:13:45
GPS_10,36.95454,-3.33072,2023-04-17 13:23:45
GPS_10,36.95454,-3.33072,2023-04-17 13:33:45
GPS_10,36.95462,-3.3309,2023-04-17 14:03:31
GPS_10,36.95449,-3.33099,2023-04-17 14:13:31
GPS_10,36.95445,-3.33108,2023-04-17 14:33:37
GPS_10,36.95449,-3.33099,2023-04-17 14:43:37
GPS_10,36.95453,-3.3309,2023-04-17 14:53:37
GPS_10,36.95437,-3.33072,2023-04-18 08:38:31
GPS_10,36.95488,-3.33124,2023-04-18 10:55:01
GPS_10,36.95509,-3.33133,2023-04-18 11:05:01
GPS_10,36.95492,-3.33142,2023-04-18 11:15:01
GPS_10,36.95451,-3.33121,2023-04-18 11:57:24
GPS_10,36.95462,-3.33112,2023-04-18 12:05:00
GPS_10,36.95452,-3.33105,2023-04-18 12:48:24
GPS_10,36.95452,-3.33105,2023-04-18 12:58:24
GPS_10,36.95439,-3.33096,2023-04-18 13:08:24
GPS_10,36.95439,-3.33081,2023-04-18 13:14:52
GPS_10,36.95443,-3.33072,2023-04-18 13:24:52
GPS_10,36.95456,-3.33072,2023-04-18 13:34:52
GPS_10,36.95466,-3.33084,2023-04-18 13:54:50
GPS_10,36.95461,-3.33115,2023-04-18 14:36:30
