id_collar,lat,lng,time_stamp
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.062134737,-3.073228046,2023-02-28T23:00:00Z
CE718,37.051392386,-3.023926146,2023-02-28T23:00:00Z
CE719,37.051880674,-3.024124514,2023-02-28T23:00:00Z
CE720,37.052933547,-3.024261845,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.062348363,-3.073197528,2023-02-28T23:00:00Z
AN867,37.050888838,-3.024063478,2023-02-28T23:00:00Z
CE717,37.051178759,-3.024063478,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.063126574,-3.073594263,2023-02-28T23:00:00Z
CE717,37.05101091,-3.023987182,2023-02-28T23:00:00Z
AT235,37.063370718,-3.074189364,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE718,37.051850156,-3.023819333,2023-02-28T23:00:00Z
CE721,37.058014801,-3.042236973,2023-02-28T23:00:00Z
AT235,37.06411841,-3.075257496,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE718,37.051132982,-3.023895628,2023-02-28T23:00:00Z
CE717,37.051361868,-3.024399176,2023-02-28T23:00:00Z
AT235,37.064011597,-3.074998093,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE718,37.051056687,-3.023849851,2023-02-28T23:00:00Z
AN867,37.050659953,-3.023620966,2023-02-28T23:00:00Z
CE720,37.052140078,-3.024948501,2023-02-28T23:00:00Z
CE717,37.051224537,-3.024246586,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.064087892,-3.075013352,2023-02-28T23:00:00Z
CE718,37.051255055,-3.023941405,2023-02-28T23:00:00Z
CE719,37.051590753,-3.023971923,2023-02-28T23:00:00Z
CE717,37.051239796,-3.024063478,2023-02-28T23:00:00Z
AT235,37.064042115,-3.074692912,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE718,37.051255055,-3.023926146,2023-02-28T23:00:00Z
AN867,37.05070573,-3.023468376,2023-02-28T23:00:00Z
CE720,37.051697566,-3.024597543,2023-02-28T23:00:00Z
CE717,37.051255055,-3.024032959,2023-02-28T23:00:00Z
AT235,37.064362554,-3.075577935,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE718,37.051071946,-3.023834592,2023-02-28T23:00:00Z
CE717,37.05195697,-3.024521248,2023-02-28T23:00:00Z
AT235,37.064408331,-3.075425345,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE717,37.050965133,-3.024032959,2023-02-28T23:00:00Z
AT235,37.064332036,-3.075318532,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE719,37.05210956,-3.024902724,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.064255741,-3.075333791,2023-02-28T23:00:00Z
CE718,37.051102464,-3.023880369,2023-02-28T23:00:00Z
CE719,37.052185855,-3.024917983,2023-02-28T23:00:00Z
CE720,37.052063783,-3.024780652,2023-02-28T23:00:00Z
CE717,37.050995651,-3.0240177,2023-02-28T23:00:00Z
AT235,37.06536965,-3.076035706,2023-02-28T23:00:00Z
CE718,37.051239796,-3.023987182,2023-02-28T23:00:00Z
CE719,37.05210956,-3.024933242,2023-02-28T23:00:00Z
CE720,37.052094301,-3.024765393,2023-02-28T23:00:00Z
CE717,37.051117723,-3.023971923,2023-02-28T23:00:00Z
CE721,37.057663844,-3.042206455,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.065644312,-3.07660029,2023-02-28T23:00:00Z
CE718,37.052475776,-3.023895628,2023-02-28T23:00:00Z
CE721,37.057419699,-3.042343786,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.066803998,-3.076661326,2023-02-28T23:00:00Z
CE718,37.053604944,-3.023163195,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.066605631,-3.076997024,2023-02-28T23:00:00Z
CE717,37.052841993,-3.0230869,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.066041047,-3.077210651,2023-02-28T23:00:00Z
CE718,37.052521553,-3.023376822,2023-02-28T23:00:00Z
AN867,37.053498131,-3.024200809,2023-02-28T23:00:00Z
CE720,37.057145037,-3.023163195,2023-02-28T23:00:00Z
CE717,37.05210956,-3.023208972,2023-02-28T23:00:00Z
CE721,37.057831693,-3.042786297,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.063462272,-3.073868925,2023-02-28T23:00:00Z
AN867,37.053788052,-3.023880369,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.063355459,-3.073777371,2023-02-28T23:00:00Z
CE718,37.052445258,-3.023529412,2023-02-28T23:00:00Z
CE719,37.05491722,-3.023422599,2023-02-28T23:00:00Z
CE717,37.050019074,-3.022949569,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.063004501,-3.074174105,2023-02-28T23:00:00Z
AN867,37.053604944,-3.023605707,2023-02-28T23:00:00Z
CE717,37.049835966,-3.023437858,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE718,37.04992752,-3.023743038,2023-02-28T23:00:00Z
AT235,37.061921111,-3.073304341,2023-02-28T23:00:00Z
CE717,37.050064851,-3.023590448,2023-02-28T23:00:00Z
CE721,37.057694362,-3.042786297,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.059800107,-3.074860761,2023-02-28T23:00:00Z
AN867,37.053406577,-3.023620966,2023-02-28T23:00:00Z
CE720,37.068131533,-3.023773556,2023-02-28T23:00:00Z
CE717,37.04992752,-3.023620966,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.059845884,-3.074647135,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE718,37.049774929,-3.023682002,2023-02-28T23:00:00Z
AT235,37.059922179,-3.074891279,2023-02-28T23:00:00Z
CE720,37.067917906,-3.023376822,2023-02-28T23:00:00Z
AN867,37.053253986,-3.024536507,2023-02-28T23:00:00Z
CE717,37.049713893,-3.023743038,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE718,37.049546044,-3.023666743,2023-02-28T23:00:00Z
AT235,37.059647517,-3.075104906,2023-02-28T23:00:00Z
AN867,37.052491035,-3.02542153,2023-02-28T23:00:00Z
CE720,37.067521172,-3.023300526,2023-02-28T23:00:00Z
CE717,37.049744411,-3.023392081,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE718,37.049698634,-3.023697261,2023-02-28T23:00:00Z
AT235,37.059723812,-3.074952316,2023-02-28T23:00:00Z
CE720,37.066346227,-3.023575189,2023-02-28T23:00:00Z
CE717,37.049851225,-3.022766461,2023-02-28T23:00:00Z
CE719,37.061738003,-3.023498894,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE718,37.049774929,-3.02355993,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.059571221,-3.075013352,2023-02-28T23:00:00Z
AN867,37.049988556,-3.023666743,2023-02-28T23:00:00Z
CE717,37.048889906,-3.022201877,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.059372854,-3.075074388,2023-02-28T23:00:00Z
CE720,37.065949493,-3.023010605,2023-02-28T23:00:00Z
AN867,37.04992752,-3.023392081,2023-02-28T23:00:00Z
CE717,37.046784161,-3.019958801,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE718,37.049958038,-3.023468376,2023-02-28T23:00:00Z
AT235,37.059555962,-3.075013352,2023-02-28T23:00:00Z
CE720,37.06599527,-3.02323949,2023-02-28T23:00:00Z
AN867,37.049942779,-3.023514153,2023-02-28T23:00:00Z
CE717,37.047074083,-3.020050355,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE721,37.060502022,-3.04461738,2023-02-28T23:00:00Z
CE718,37.049942779,-3.023544671,2023-02-28T23:00:00Z
AT235,37.059723812,-3.074479286,2023-02-28T23:00:00Z
CE720,37.066697185,-3.023102159,2023-02-28T23:00:00Z
AN867,37.049942779,-3.023544671,2023-02-28T23:00:00Z
CE717,37.046982528,-3.019851987,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
AT235,37.059815366,-3.074753948,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE718,37.046448463,-3.01919585,2023-02-28T23:00:00Z
AT235,37.059357595,-3.073563745,2023-02-28T23:00:00Z
CE717,37.047028305,-3.019836728,2023-02-28T23:00:00Z
CE719,37.044541085,-3.017959869,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE721,37.045258259,-3.045334554,2023-02-28T23:00:00Z
AT235,37.059067674,-3.07457084,2023-02-28T23:00:00Z
AN867,37.046265354,-3.019272145,2023-02-28T23:00:00Z
CE719,37.043976501,-3.018539712,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE721,37.040115969,-3.043808652,2023-02-28T23:00:00Z
AT235,37.059296559,-3.075028611,2023-02-28T23:00:00Z
AN867,37.045929656,-3.018844892,2023-02-28T23:00:00Z
CE720,37.066910811,-3.02386511,2023-02-28T23:00:00Z
CE719,37.04664683,-3.020355535,2023-02-28T23:00:00Z
AV782,1.00390631,0,2023-02-28T23:00:00Z
CE718,37.049774929,-3.023697261,2023-02-28T23:00:00Z
